NFR,Sector,Table,Type,Technology,Fuel,Abatement,Region,Pollutant,Value,Unit,CI_lower,CI_upper,Reference
1.A.1.a,Public electricity and heat production,Table_3-4,Tier 1 Emission Factor,NA,Natural gas,,NA,NOx,89,g/GJ,15.6,180,"US EPA (1998), chapter 1.4"
1.A.1.a,Public electricity and heat production,Table_3-3,Tier 1 Emission Factor,NA,Brown Coal,,NA,BC,1,% of PM2.5,0.1,4,Kupiainen and Klimont (2007)
1.A.1.a,Public electricity and heat production,Table_3-3,Tier 1 Emission Factor,NA,Brown Coal,,NA,"Indeno(1,2,3-cd)pyrene",2.1,µg/GJ,0.42,10.5,"US EPA (1998), chapter 1.7"
1.A.1.a,Public electricity and heat production,Table_3-3,Tier 1 Emission Factor,NA,Brown Coal,,NA,Benzo(a)pyrene,1.3,µg/GJ,0.26,6.5,"US EPA (1998), chapter 1.7"
1.A.1.a,Public electricity and heat production,Table_3-4,Tier 1 Emission Factor,NA,Natural gas,,NA,PM10,0.89,g/GJ,0.445,1.33,"US EPA (1998), chapter 1.4"
1.A.1.a,Public electricity and heat production,Table_3-6,Tier 1 Emission Factor,NA,Heavy Fuel Oil,,NA,SOx,495,g/GJ,146,1700,See note in Guidebook chapter
1.A.1.a,Public electricity and heat production,Table_3-2,Tier 1 Emission Factor,NA,Hard Coal,,NA,TSP,11.4,g/GJ,3,300,"US EPA (1998), chapter 1.1"
1.A.1.a,Public electricity and heat production,Table_3-6,Tier 1 Emission Factor,NA,Heavy Fuel Oil,,NA,As,3.98,mg/GJ,1.98,7.97,"US EPA (2010), chapter 1.3"
1.A.1.a,Public electricity and heat production,Table_3-6,Tier 1 Emission Factor,NA,Heavy Fuel Oil,,NA,Hg,0.341,mg/GJ,0.17,0.682,"US EPA (2010), chapter 1.3"
1.A.1.a,Public electricity and heat production,Table_3-6,Tier 1 Emission Factor,NA,Heavy Fuel Oil,,NA,Cd,1.29,mg/GJ,0.64,3,"US EPA (2010), chapter 1.3"
1.A.1.a,Public electricity and heat production,Table_3-6,Tier 1 Emission Factor,NA,Heavy Fuel Oil,,NA,Pb,4.56,mg/GJ,2.88,9.11,"US EPA (2010), chapter 1.3"
1.A.1.a,Public electricity and heat production,Table_3-6,Tier 1 Emission Factor,NA,Heavy Fuel Oil,,NA,PM2.5,19.3,g/GJ,0.9,90,"US EPA (2010), chapter 1.3"
1.A.1.a,Public electricity and heat production,Table_3-4,Tier 1 Emission Factor,NA,Natural gas,,NA,Cu,7.6E-05,mg/GJ,2.5E-05,0.000228,"Nielsen et al., 2012"
1.A.1.a,Public electricity and heat production,Table_3-6,Tier 1 Emission Factor,NA,Heavy Fuel Oil,,NA,TSP,35.4,g/GJ,2,200,"US EPA (2010), chapter 1.3"
1.A.1.a,Public electricity and heat production,Table_3-4,Tier 1 Emission Factor,NA,Natural gas,,NA,Ni,0.00051,mg/GJ,0.00017,0.00153,"Nielsen et al., 2012"
1.A.1.a,Public electricity and heat production,Table_3-6,Tier 1 Emission Factor,NA,Heavy Fuel Oil,,NA,NMVOC,2.3,g/GJ,1.4,3.2,"US EPA (2010), chapter 1.3"
1.A.1.a,Public electricity and heat production,Table_3-6,Tier 1 Emission Factor,NA,Heavy Fuel Oil,,NA,CO,15.1,g/GJ,9.06,21.1,"US EPA (2010), chapter 1.3"
1.A.1.a,Public electricity and heat production,Table_3-6,Tier 1 Emission Factor,NA,Heavy Fuel Oil,,NA,NOx,142,g/GJ,70,300,"US EPA (2010), chapter 1.3"
1.A.1.a,Public electricity and heat production,Table_3-6,Tier 1 Emission Factor,NA,Heavy Fuel Oil,,NA,BC,5.6,% of PM2.5,0.22,8.69,See note in Guidebook chapter
1.A.1.a,Public electricity and heat production,Table_3-4,Tier 1 Emission Factor,NA,Natural gas,EU Region,NA,SOx,0.244,g/GJ,0.03,0.458,DBI 2014; Fluxys 2009-2011
1.A.1.a,Public electricity and heat production,Table_3-4,Tier 1 Emission Factor,NA,Natural gas,,NA,Zn,0.0015,mg/GJ,0.0005,0.0045,"Nielsen et al., 2012"
1.A.1.a,Public electricity and heat production,Table_3-3,Tier 1 Emission Factor,NA,Brown Coal,,NA,Se,45,mg/GJ,32.8,76.5,"US EPA (1998), chapter 1.7"
1.A.1.a,Public electricity and heat production,Table_3-6,Tier 1 Emission Factor,NA,Heavy Fuel Oil,,NA,PM10,25.2,g/GJ,1.5,150,"US EPA (2010), chapter 1.3"
1.A.1.a,Public electricity and heat production,Table_3-2,Tier 1 Emission Factor,NA,Hard Coal,,NA,Cu,7.8,mg/GJ,0.233,15.5,Expert judgement derived from Guidebook (2006)
1.A.1.a,Public electricity and heat production,Table_3-3,Tier 1 Emission Factor,NA,Brown Coal,,NA,PCDD/F,10,ng I-TEQ/GJ,5,15,UNEP (2005); Coal fired power boilers
1.A.1.a,Public electricity and heat production,Table_3-2,Tier 1 Emission Factor,NA,Hard Coal,,NA,"Indeno(1,2,3-cd)pyrene",1.18,µg/GJ,0.59,2.36,"US EPA (1998), chapter 1.1"
1.A.1.a,Public electricity and heat production,Table_3-2,Tier 1 Emission Factor,NA,Hard Coal,,NA,Benzo(a)pyrene,0.74,µg/GJ,0.25,2.21,"US EPA (1998), chapter 1.1"
1.A.1.a,Public electricity and heat production,Table_3-2,Tier 1 Emission Factor,NA,Hard Coal,,NA,PCDD/F,10,ng I-TEQ/GJ,5,15,UNEP (2005); Coal fired power boilers
1.A.1.a,Public electricity and heat production,Table_3-2,Tier 1 Emission Factor,NA,Hard Coal,,NA,PCB,3.3,ng WHO-TEG/GJ,1.1,9.9,"Grochowalski & Konieczyński, 2008"
1.A.1.a,Public electricity and heat production,Table_3-2,Tier 1 Emission Factor,NA,Hard Coal,,NA,Zn,19,mg/GJ,7.75,155,Expert judgement derived from EMEP/EEA Guidebook (2006)
1.A.1.a,Public electricity and heat production,Table_3-3,Tier 1 Emission Factor,NA,Brown Coal,,NA,Cu,1,mg/GJ,0.2,5,EMEP/EEA Guidebook (2006)
1.A.1.a,Public electricity and heat production,Table_3-2,Tier 1 Emission Factor,NA,Hard Coal,,NA,Ni,4.9,mg/GJ,3.44,8.03,"US EPA (1998), chapter 1.1"
1.A.1.a,Public electricity and heat production,Table_3-3,Tier 1 Emission Factor,NA,Brown Coal,,NA,PCB,3.3,ng WHO-TEG/GJ,1.1,9.9,"Grochowalski & Konieczyński, 2008"
1.A.1.a,Public electricity and heat production,Table_3-2,Tier 1 Emission Factor,NA,Hard Coal,,NA,Cr,4.5,mg/GJ,3.2,7.46,"US EPA (1998), chapter 1.1"
1.A.1.a,Public electricity and heat production,Table_3-2,Tier 1 Emission Factor,NA,Hard Coal,,NA,As,7.1,mg/GJ,5.04,11.8,"US EPA (1998), chapter 1.1"
1.A.1.a,Public electricity and heat production,Table_3-2,Tier 1 Emission Factor,NA,Hard Coal,,NA,Hg,1.4,mg/GJ,1.02,2.38,"US EPA (1998), chapter 1.1"
1.A.1.a,Public electricity and heat production,Table_3-2,Tier 1 Emission Factor,NA,Hard Coal,,NA,Cd,0.9,mg/GJ,0.627,1.46,"US EPA (1998), chapter 1.1"
1.A.1.a,Public electricity and heat production,Table_3-2,Tier 1 Emission Factor,NA,Hard Coal,,NA,Pb,7.3,mg/GJ,5.16,12,"US EPA (1998), chapter 1.1"
1.A.1.a,Public electricity and heat production,Table_3-2,Tier 1 Emission Factor,NA,Hard Coal,,NA,PM2.5,3.4,g/GJ,0.9,90,"US EPA (1998), chapter 1.1"
1.A.1.a,Public electricity and heat production,Table_3-2,Tier 1 Emission Factor,NA,Hard Coal,,NA,PM10,7.7,g/GJ,2,200,"US EPA (1998), chapter 1.1"
1.A.1.a,Public electricity and heat production,Table_3-2,Tier 1 Emission Factor,NA,Hard Coal,,NA,Se,23,mg/GJ,16,37.3,"US EPA (1998), chapter 1.1"
1.A.1.a,Public electricity and heat production,Table_3-3,Tier 1 Emission Factor,NA,Brown Coal,,NA,TSP,11.7,g/GJ,1.2,117,"US EPA (1998), chapter 1.7"
1.A.1.a,Public electricity and heat production,Table_3-6,Tier 1 Emission Factor,NA,Heavy Fuel Oil,,NA,Ni,255,mg/GJ,127,510,"US EPA (2010), chapter 1.3"
1.A.1.a,Public electricity and heat production,Table_3-3,Tier 1 Emission Factor,NA,Brown Coal,,NA,Ni,9.7,mg/GJ,7.06,16.5,"US EPA (1998), chapter 1.7"
1.A.1.a,Public electricity and heat production,Table_3-3,Tier 1 Emission Factor,NA,Brown Coal,,NA,Cr,9.1,mg/GJ,6.55,15.3,"US EPA (1998), chapter 1.7"
1.A.1.a,Public electricity and heat production,Table_3-3,Tier 1 Emission Factor,NA,Brown Coal,,NA,Hg,2.9,mg/GJ,2.09,4.88,"US EPA (1998), chapter 1.7"
1.A.1.a,Public electricity and heat production,Table_3-3,Tier 1 Emission Factor,NA,Brown Coal,,NA,Cd,1.8,mg/GJ,1.29,3,"US EPA (1998), chapter 1.7"
1.A.1.a,Public electricity and heat production,Table_3-3,Tier 1 Emission Factor,NA,Brown Coal,,NA,Pb,15,mg/GJ,10.6,24.7,"US EPA (1998), chapter 1.7"
1.A.1.a,Public electricity and heat production,Table_3-2,Tier 1 Emission Factor,NA,Hard Coal,,NA,HCB,6.7,µg/GJ,2.2,20.1,"Grochowalski & Konieczyński, 2008"
1.A.1.a,Public electricity and heat production,Table_3-3,Tier 1 Emission Factor,NA,Brown Coal,,NA,PM10,7.9,g/GJ,1,79,"US EPA (1998), chapter 1.7"
1.A.1.a,Public electricity and heat production,Table_3-3,Tier 1 Emission Factor,NA,Brown Coal,,NA,Zn,8.8,mg/GJ,0.504,16.8,EMEP/EEA Guidebook (2006)
1.A.1.a,Public electricity and heat production,Table_3-3,Tier 1 Emission Factor,NA,Brown Coal,,NA,SOx,1680,g/GJ,330,5000,See note in Guidebook chapter
1.A.1.a,Public electricity and heat production,Table_3-3,Tier 1 Emission Factor,NA,Brown Coal,,NA,NMVOC,1.4,g/GJ,0.84,3.36,"US EPA (1998), chapter 1.7"
1.A.1.a,Public electricity and heat production,Table_3-3,Tier 1 Emission Factor,NA,Brown Coal,,NA,CO,8.7,g/GJ,6.72,60.5,"US EPA (1998), chapter 1.7"
1.A.1.a,Public electricity and heat production,Table_3-3,Tier 1 Emission Factor,NA,Brown Coal,,NA,NOx,247,g/GJ,143,571,"US EPA (1998), chapter 1.7"
1.A.1.a,Public electricity and heat production,Table_3-3,Tier 1 Emission Factor,NA,Brown Coal,,NA,HCB,6.7,µg/GJ,2.2,20.1,"Grochowalski & Konieczyński, 2008"
1.A.1.a,Public electricity and heat production,Table_3-3,Tier 1 Emission Factor,NA,Brown Coal,,NA,Benzo(k)fluoranthene,29,µg/GJ,2.9,290,"Wenborn et al., 1999"
1.A.1.a,Public electricity and heat production,Table_3-3,Tier 1 Emission Factor,NA,Brown Coal,,NA,Benzo(b)fluoranthene,37,µg/GJ,3.7,370,"Wenborn et al., 1999"
1.A.1.a,Public electricity and heat production,Table_3-3,Tier 1 Emission Factor,NA,Brown Coal,,NA,PM2.5,3.2,g/GJ,1,32,"US EPA (1998), chapter 1.7"
1.A.1.a,Public electricity and heat production,Table_3-8,Tier 1 Emission Factor,NA,Biomass,,NA,Benzo(a)pyrene,1.12,mg/GJ,0.671,1.57,"US EPA (2003), chapter 1.6"
1.A.1.a,Public electricity and heat production,Table_3-5,Tier 1 Emission Factor,Coke oven gas,Blast furnace/Basic O2 furnace gas,,NA,TSP,1.5,g/GJ,1,2,UBA (2019)
1.A.1.a,Public electricity and heat production,Table_3-5,Tier 1 Emission Factor,Coke oven gas,Blast furnace/Basic O2 furnace gas,,NA,SOx,40,g/GJ,36,44,UBA (2019)
1.A.1.a,Public electricity and heat production,Table_3-5,Tier 1 Emission Factor,Coke oven gas,Blast furnace/Basic O2 furnace gas,,NA,CO,5,g/GJ,1,9,UBA (2019)
1.A.1.a,Public electricity and heat production,Table_3-5,Tier 1 Emission Factor,Coke oven gas,Blast furnace/Basic O2 furnace gas,,NA,NOx,25,g/GJ,22,27,UBA (2019)
1.A.1.a,Public electricity and heat production,Table_3-8,Tier 1 Emission Factor,NA,Biomass,,NA,HCB,5,µg/GJ,0.5,50,"Bailey, 2001"
1.A.1.a,Public electricity and heat production,Table_3-8,Tier 1 Emission Factor,NA,Biomass,,NA,"Indeno(1,2,3-cd)pyrene",0.0374,mg/GJ,0.0187,0.0561,"US EPA (2003), chapter 1.6"
1.A.1.a,Public electricity and heat production,Table_3-6,Tier 1 Emission Factor,NA,Heavy Fuel Oil,,NA,Cr,2.55,mg/GJ,1.27,5.1,"US EPA (2010), chapter 1.3"
1.A.1.a,Public electricity and heat production,Table_3-8,Tier 1 Emission Factor,NA,Biomass,,NA,Benzo(b)fluoranthene,0.043,mg/GJ,0.0215,0.0645,"US EPA (2003), chapter 1.6"
1.A.1.a,Public electricity and heat production,Table_3-9,Tier 1 Emission Factor,,Biogas,,NA,As,0.042,mg/GJ,,,Nielsen et al. 2010
1.A.1.a,Public electricity and heat production,Table_3-8,Tier 1 Emission Factor,NA,Biomass,,NA,PCDD/F,50,ng I-TEQ/GJ,25,75,UNEP (2005) (for clean wood)
1.A.1.a,Public electricity and heat production,Table_3-8,Tier 1 Emission Factor,NA,Biomass,,NA,PCB,3.5,µg/GJ,0.35,35,"US EPA (2003), chapter 1.6"
1.A.1.a,Public electricity and heat production,Table_3-8,Tier 1 Emission Factor,NA,Biomass,,NA,Zn,181,mg/GJ,108,253,"US EPA (2003), chapter 1.6"
1.A.1.a,Public electricity and heat production,Table_3-8,Tier 1 Emission Factor,NA,Biomass,,NA,Se,1.2,mg/GJ,0.722,1.69,"US EPA (2003), chapter 1.6"
1.A.1.a,Public electricity and heat production,Table_3-8,Tier 1 Emission Factor,NA,Biomass,,NA,Ni,14.2,mg/GJ,8.51,19.9,"US EPA (2003), chapter 1.6"
1.A.1.a,Public electricity and heat production,Table_3-8,Tier 1 Emission Factor,NA,Biomass,,NA,Cu,21.1,mg/GJ,12.6,29.5,"US EPA (2003), chapter 1.6"
1.A.1.a,Public electricity and heat production,Table_3-8,Tier 1 Emission Factor,NA,Biomass,,NA,Benzo(k)fluoranthene,0.0155,mg/GJ,0.00774,0.0232,"US EPA (2003), chapter 1.6"
1.A.1.a,Public electricity and heat production,Table_3-9,Tier 1 Emission Factor,,Biogas,,NA,Ni,0.23,mg/GJ,,,Nielsen et al. 2010
1.A.1.a,Public electricity and heat production,Table_3-11,Tier 2 Emission Factor,Dry Bottom Boilers,"Coking Coal, Steam Coal & Sub-Bituminous Coal",,NA,NOx,209,g/GJ,200,350,"US EPA (1998), chapter 1.1"
1.A.1.a,Public electricity and heat production,Table_3-9,Tier 1 Emission Factor,,Biogas,,NA,Zn,4,mg/GJ,,,Nielsen et al. 2010
1.A.1.a,Public electricity and heat production,Table_3-9,Tier 1 Emission Factor,,Biogas,,NA,SOx,10.8,g/GJ,32,182,DBFZ (2011)
1.A.1.a,Public electricity and heat production,Table_3-9,Tier 1 Emission Factor,,Biogas,,NA,Se,0.21,mg/GJ,,,Nielsen et al. 2010
1.A.1.a,Public electricity and heat production,Table_3-9,Tier 1 Emission Factor,,Biogas,,NA,PCDD/F,0.96,ng/GJ,,,Nielsen et al. 2010
1.A.1.a,Public electricity and heat production,Table_3-9,Tier 1 Emission Factor,,Biogas,,NA,Pb,,mg/GJ,,,Nielsen et al. 2010
1.A.1.a,Public electricity and heat production,Table_3-5,Tier 1 Emission Factor,Coke oven gas,Blast furnace/Basic O2 furnace gas,,NA,PM10,1.5,g/GJ,1,2,Assumed to be equal to TSP
1.A.1.a,Public electricity and heat production,Table_3-9,Tier 1 Emission Factor,,Biogas,,NA,NMVOC,10,g/GJ,3,18,DBFZ (2011)
1.A.1.a,Public electricity and heat production,Table_3-5,Tier 1 Emission Factor,Coke oven gas,Blast furnace/Basic O2 furnace gas,,NA,PM2.5,1.5,g/GJ,1,2,Assumed to be equal to TSP
1.A.1.a,Public electricity and heat production,Table_3-9,Tier 1 Emission Factor,,Biogas,,NA,NH3,0.23,g/GJ,,,DBFZ (2011)
1.A.1.a,Public electricity and heat production,Table_3-9,Tier 1 Emission Factor,,Biogas,,NA,Hg,0.12,mg/GJ,,,Nielsen et al. 2010
1.A.1.a,Public electricity and heat production,Table_3-9,Tier 1 Emission Factor,,Biogas,,NA,Cu,0.31,mg/GJ,,,Nielsen et al. 2010
1.A.1.a,Public electricity and heat production,Table_3-9,Tier 1 Emission Factor,,Biogas,,NA,Cr,0.18,mg/GJ,,,Nielsen et al. 2010
1.A.1.a,Public electricity and heat production,Table_3-9,Tier 1 Emission Factor,,Biogas,,NA,CO,156,g/GJ,97,255,DBFZ (2011)
1.A.1.a,Public electricity and heat production,Table_3-9,Tier 1 Emission Factor,,Biogas,,NA,Cd,0.002,mg/GJ,,,Nielsen et al. 2010
1.A.1.a,Public electricity and heat production,Table_3-8,Tier 1 Emission Factor,NA,Biomass,,NA,Hg,1.51,mg/GJ,0.903,2.11,"US EPA (2003), chapter 1.6"
1.A.1.a,Public electricity and heat production,Table_3-9,Tier 1 Emission Factor,,Biogas,,NA,NOx,198,g/GJ,28,582,DBFZ (2011)
1.A.1.a,Public electricity and heat production,Table_3-7,Tier 1 Emission Factor,NA,Gas oil,,NA,NMVOC,0.8,g/GJ,0.48,1.28,"US EPA (1998), chapter 1.3"
1.A.1.a,Public electricity and heat production,Table_3-8,Tier 1 Emission Factor,NA,Biomass,,NA,Cr,9.03,mg/GJ,5.42,12.6,"US EPA (2003), chapter 1.6"
1.A.1.a,Public electricity and heat production,Table_3-7,Tier 1 Emission Factor,NA,Gas oil,,NA,Hg,1.36,mg/GJ,0.14,15,"US EPA (1998), chapter 1.3"
1.A.1.a,Public electricity and heat production,Table_3-7,Tier 1 Emission Factor,NA,Gas oil,,NA,Cd,1.36,mg/GJ,0.14,15,"US EPA (1998), chapter 1.3"
1.A.1.a,Public electricity and heat production,Table_3-7,Tier 1 Emission Factor,NA,Gas oil,,NA,Pb,4.07,mg/GJ,0.41,40,"US EPA (1998), chapter 1.3"
1.A.1.a,Public electricity and heat production,Table_3-7,Tier 1 Emission Factor,NA,Gas oil,,NA,PM2.5,0.8,g/GJ,0.3,2.5,"US EPA (1998), chapter 1.3"
1.A.1.a,Public electricity and heat production,Table_3-7,Tier 1 Emission Factor,NA,Gas oil,,NA,PM10,3.2,g/GJ,1,10,"US EPA (1998), chapter 1.3"
1.A.1.a,Public electricity and heat production,Table_3-7,Tier 1 Emission Factor,NA,Gas oil,,NA,Cr,1.36,mg/GJ,0.14,15,"US EPA (1998), chapter 1.3"
1.A.1.a,Public electricity and heat production,Table_3-7,Tier 1 Emission Factor,NA,Gas oil,,NA,SOx,46.5,g/GJ,4.65,465,See note in Guidebook chapter
1.A.1.a,Public electricity and heat production,Table_3-7,Tier 1 Emission Factor,NA,Gas oil,,NA,Cu,2.72,mg/GJ,0.27,30,"US EPA (1998), chapter 1.3"
1.A.1.a,Public electricity and heat production,Table_3-7,Tier 1 Emission Factor,NA,Gas oil,,NA,CO,16.2,g/GJ,4,65,"US EPA (1998), chapter 1.3"
1.A.1.a,Public electricity and heat production,Table_3-7,Tier 1 Emission Factor,NA,Gas oil,,NA,NOx,65,g/GJ,22,195,"US EPA (1998), chapter 1.3"
1.A.1.a,Public electricity and heat production,Table_3-7,Tier 1 Emission Factor,NA,Gas oil,,NA,BC,33.5,% of PM2.5,28.9,38,"Hildemann et al., 1981 & Bond et al., 2006"
1.A.1.a,Public electricity and heat production,Table_3-6,Tier 1 Emission Factor,NA,Heavy Fuel Oil,,NA,"Indeno(1,2,3-cd)pyrene",6.92,µg/GJ,3.46,13.8,"US EPA (2010), chapter 1.3"
1.A.1.a,Public electricity and heat production,Table_3-6,Tier 1 Emission Factor,NA,Heavy Fuel Oil,,NA,PCDD/F,2.5,ng I-TEQ/GJ,1.25,3.75,UNEP (2005); Heavy fuel fired power boilers
1.A.1.a,Public electricity and heat production,Table_3-6,Tier 1 Emission Factor,NA,Heavy Fuel Oil,,NA,Zn,87.8,mg/GJ,43.9,176,"US EPA (2010), chapter 1.3"
1.A.1.a,Public electricity and heat production,Table_3-6,Tier 1 Emission Factor,NA,Heavy Fuel Oil,,NA,Se,2.06,mg/GJ,1.03,4.12,"US EPA (2010), chapter 1.3"
1.A.1.a,Public electricity and heat production,Table_3-7,Tier 1 Emission Factor,NA,Gas oil,,NA,TSP,6.5,g/GJ,2,20,"US EPA (1998), chapter 1.3"
1.A.1.a,Public electricity and heat production,Table_3-8,Tier 1 Emission Factor,NA,Biomass,,NA,CO,90,g/GJ,45,180,"Nielsen et al., 2010"
1.A.1.a,Public electricity and heat production,Table_3-3,Tier 1 Emission Factor,NA,Brown Coal,,NA,As,14.3,mg/GJ,10.3,24.1,"US EPA (1998), chapter 1.7"
1.A.1.a,Public electricity and heat production,Table_3-8,Tier 1 Emission Factor,NA,Biomass,,NA,Cd,1.76,mg/GJ,1.06,2.47,"US EPA (2003), chapter 1.6"
1.A.1.a,Public electricity and heat production,Table_3-8,Tier 1 Emission Factor,NA,Biomass,,NA,Pb,20.6,mg/GJ,12.4,28.9,"US EPA (2003), chapter 1.6"
1.A.1.a,Public electricity and heat production,Table_3-8,Tier 1 Emission Factor,NA,Biomass,,NA,PM2.5,133,g/GJ,66,266,"US EPA (2003), chapter 1.6"
1.A.1.a,Public electricity and heat production,Table_3-8,Tier 1 Emission Factor,NA,Biomass,,NA,PM10,155,g/GJ,77,310,"US EPA (2003), chapter 1.6"
1.A.1.a,Public electricity and heat production,Table_3-8,Tier 1 Emission Factor,NA,Biomass,,NA,TSP,172,g/GJ,86,344,"US EPA (2003), chapter 1.6"
1.A.1.a,Public electricity and heat production,Table_3-7,Tier 1 Emission Factor,NA,Gas oil,,NA,As,1.81,mg/GJ,0.18,20,"US EPA (1998), chapter 1.3"
1.A.1.a,Public electricity and heat production,Table_3-8,Tier 1 Emission Factor,NA,Biomass,,NA,NMVOC,7.31,g/GJ,2.44,21.9,"US EPA (2003), chapter 1.6"
1.A.1.a,Public electricity and heat production,Table_3-8,Tier 1 Emission Factor,NA,Biomass,,NA,As,9.46,mg/GJ,5.68,13.2,"US EPA (2003), chapter 1.6"
1.A.1.a,Public electricity and heat production,Table_3-8,Tier 1 Emission Factor,NA,Biomass,,NA,NOx,81,g/GJ,40,160,"Nielsen et al., 2010"
1.A.1.a,Public electricity and heat production,Table_3-8,Tier 1 Emission Factor,NA,Biomass,,NA,BC,3.3,% of PM2.5,1.6,6.6,See note in Guidebook chapter
1.A.1.a,Public electricity and heat production,Table_3-7,Tier 1 Emission Factor,NA,Gas oil,,NA,"Indeno(1,2,3-cd)pyrene",6.92,µg/GJ,3.46,13.8,"US EPA (1998), chapter 1.3"
1.A.1.a,Public electricity and heat production,Table_3-7,Tier 1 Emission Factor,NA,Gas oil,,NA,PCDD/F,0.5,ng I-TEQ/GJ,0.25,1,"UNEP, 2005"
1.A.1.a,Public electricity and heat production,Table_3-7,Tier 1 Emission Factor,NA,Gas oil,,NA,Zn,1.81,mg/GJ,0.18,20,"US EPA (1998), chapter 1.3"
1.A.1.a,Public electricity and heat production,Table_3-7,Tier 1 Emission Factor,NA,Gas oil,,NA,Se,6.79,mg/GJ,0.68,70,"US EPA (1998), chapter 1.3"
1.A.1.a,Public electricity and heat production,Table_3-7,Tier 1 Emission Factor,NA,Gas oil,,NA,Ni,1.36,mg/GJ,0.14,15,"US EPA (1998), chapter 1.3"
1.A.1.a,Public electricity and heat production,Table_3-8,Tier 1 Emission Factor,NA,Biomass,,NA,SOx,10.8,g/GJ,6.45,15.1,"US EPA (2003), chapter 1.6"
1.A.1.a,Public electricity and heat production,Table_3-15,Tier 2 Emission Factor,Dry Bottom Boilers,Wood and wood waste (clean wood waste),,NA,Zn,181,mg/GJ,108,253,"US EPA (2003), chapter 1.6"
1.A.1.a,Public electricity and heat production,Table_3-15,Tier 2 Emission Factor,Dry Bottom Boilers,Wood and wood waste (clean wood waste),,NA,Pb,20.6,mg/GJ,12.4,28.9,"US EPA (2003), chapter 1.6"
1.A.1.a,Public electricity and heat production,Table_3-15,Tier 2 Emission Factor,Dry Bottom Boilers,Wood and wood waste (clean wood waste),,NA,HCB,5,µg/GJ,0.5,50,"Bailey, 2001"
1.A.1.a,Public electricity and heat production,Table_3-15,Tier 2 Emission Factor,Dry Bottom Boilers,Wood and wood waste (clean wood waste),,NA,"Indeno(1,2,3-cd)pyrene",0.0374,mg/GJ,0.0187,0.0561,"US EPA (2003), chapter 1.6"
1.A.1.a,Public electricity and heat production,Table_3-15,Tier 2 Emission Factor,Dry Bottom Boilers,Wood and wood waste (clean wood waste),,NA,Benzo(k)fluoranthene,0.0155,mg/GJ,0.00774,0.0232,"US EPA (2003), chapter 1.6"
1.A.1.a,Public electricity and heat production,Table_3-15,Tier 2 Emission Factor,Dry Bottom Boilers,Wood and wood waste (clean wood waste),,NA,Benzo(b)fluoranthene,0.043,mg/GJ,0.0215,0.0645,"US EPA (2003), chapter 1.6"
1.A.1.a,Public electricity and heat production,Table_3-15,Tier 2 Emission Factor,Dry Bottom Boilers,Wood and wood waste (clean wood waste),,NA,Benzo(a)pyrene,1.12,mg/GJ,0.671,1.57,"US EPA (2003), chapter 1.6"
1.A.1.a,Public electricity and heat production,Table_3-16,Tier 2 Emission Factor,Wet Bottom Boilers,"Coking Coal, Steam Coal & Sub-Bituminous Coal",,NA,NOx,244,g/GJ,120,488,"US EPA (1998), chapter 1.1"
