id,forecast_date,sales_rep,segment,value_gbp,probability,deal_id,stage,close_date,currency,creation_date
UK-REC-00044,2023-10-06,UK_REP_01,Vaccines,106126.57,0.83,UK-OPP-00044,Commit,2023-11-10,GBP,2023-10-06
UK-REC-00045,2023-10-06,UK_REP_01,Vaccines,9640.67,0.9,UK-OPP-00045,Commit,2023-12-08,GBP,2023-10-06
UK-REC-00046,2023-10-06,UK_REP_04,Therapeutics,25926.55,0.21,UK-OPP-00046,Pipeline,2024-01-16,GBP,2023-10-06
UK-REC-00047,2023-10-09,UK_REP_02,Vaccines,110016.9,0.53,UK-OPP-00047,Upside,2023-12-02,GBP,2023-10-09
UK-REC-00048,2023-10-10,UK_REP_01,Devices,51197.02,0.94,UK-OPP-00048,Commit,2024-01-17,GBP,2023-10-10
UK-REC-00049,2023-10-11,UK_REP_04,Diagnostics,61323.83,0.88,UK-OPP-00049,Commit,2023-12-19,GBP,2023-10-11
UK-REC-00050,2023-10-14,UK_REP_03,Therapeutics,15621.01,0.75,UK-OPP-00050,Upside,2024-02-04,GBP,2023-10-14
UK-REC-00051,2023-10-17,UK_REP_04,Vaccines,61392.04,0.26,UK-OPP-00051,Pipeline,2023-12-29,GBP,2023-10-17
UK-REC-00052,2023-10-19,UK_REP_03,Vaccines,110423.91,1.0,UK-OPP-00052,Closed Won,2023-12-07,GBP,2023-10-19
UK-REC-00053,2023-10-19,UK_REP_02,Devices,111898.51,0.16,UK-OPP-00053,Pipeline,2023-12-22,GBP,2023-10-19
UK-REC-00054,2023-10-19,UK_REP_03,Devices,89966.76,0.93,UK-OPP-00054,Commit,2024-01-16,GBP,2023-10-19
UK-REC-00055,2023-10-20,UK_REP_02,Therapeutics,23320.73,0.0,UK-OPP-00055,Closed Lost,2024-02-02,GBP,2023-10-20
UK-REC-00056,2023-10-20,UK_REP_04,Diagnostics,116850.64,0.5,UK-OPP-00056,Upside,2023-12-26,GBP,2023-10-20
UK-REC-00057,2023-10-20,UK_REP_01,Diagnostics,58989.29,0.52,UK-OPP-00057,Upside,2023-12-20,GBP,2023-10-20
UK-REC-00058,2023-10-21,UK_REP_01,Devices,91067.91,1.0,UK-OPP-00058,Closed Won,2024-01-30,GBP,2023-10-21
UK-REC-00059,2023-10-21,UK_REP_03,Devices,120012.18,0.57,UK-OPP-00059,Upside,2024-02-14,GBP,2023-10-21
UK-REC-00060,2023-10-21,UK_REP_04,Therapeutics,54832.01,0.87,UK-OPP-00060,Commit,2023-12-04,GBP,2023-10-21
UK-REC-00061,2023-10-22,UK_REP_03,Devices,51631.71,0.43,UK-OPP-00061,Pipeline,2024-01-03,GBP,2023-10-22
UK-REC-00062,2023-10-28,UK_REP_02,Therapeutics,36658.53,0.0,UK-OPP-00062,Closed Lost,2024-01-22,GBP,2023-10-28
UK-REC-00063,2023-11-02,UK_REP_04,Devices,110794.07,0.16,UK-OPP-00063,Pipeline,2023-12-17,GBP,2023-11-02
UK-REC-00064,2023-11-02,UK_REP_04,Vaccines,122976.74,1.0,UK-OPP-00064,Closed Won,2024-01-27,GBP,2023-11-02
UK-REC-00065,2023-11-02,UK_REP_02,Vaccines,36503.2,0.86,UK-OPP-00065,Commit,2023-12-19,GBP,2023-11-02
UK-REC-00066,2023-11-04,UK_REP_02,Diagnostics,67364.87,0.84,UK-OPP-00066,Commit,2023-12-31,GBP,2023-11-04
UK-REC-00067,2023-11-04,UK_REP_01,Vaccines,118974.19,1.0,UK-OPP-00067,Closed Won,2023-12-26,GBP,2023-11-04
UK-REC-00068,2023-11-04,UK_REP_04,Vaccines,21892.1,0.86,UK-OPP-00068,Commit,2024-02-08,GBP,2023-11-04
UK-REC-00069,2023-11-06,UK_REP_03,Therapeutics,40202.51,0.0,UK-OPP-00069,Closed Lost,2024-01-08,GBP,2023-11-06
UK-REC-00070,2023-11-10,UK_REP_04,Therapeutics,41023.71,0.35,UK-OPP-00070,Pipeline,2024-02-27,GBP,2023-11-10
UK-REC-00071,2023-11-11,UK_REP_03,Vaccines,42056.46,0.4,UK-OPP-00071,Pipeline,2024-02-25,GBP,2023-11-11
UK-REC-00072,2023-11-13,UK_REP_03,Vaccines,36664.03,1.0,UK-OPP-00072,Closed Won,2024-02-17,GBP,2023-11-13
UK-REC-00073,2023-11-14,UK_REP_03,Diagnostics,65292.2,0.63,UK-OPP-00073,Upside,2024-03-04,GBP,2023-11-14
UK-REC-00074,2023-11-15,UK_REP_04,Devices,75975.75,0.66,UK-OPP-00074,Upside,2024-03-10,GBP,2023-11-15
UK-REC-00075,2023-11-18,UK_REP_01,Diagnostics,119871.93,0.21,UK-OPP-00075,Pipeline,2024-01-28,GBP,2023-11-18
UK-REC-00076,2023-11-24,UK_REP_04,Diagnostics,74606.83,0.26,UK-OPP-00076,Pipeline,2023-12-31,GBP,2023-11-24
UK-REC-00077,2023-12-03,UK_REP_02,Vaccines,114619.72,0.17,UK-OPP-00077,Pipeline,2024-01-15,GBP,2023-12-03
UK-REC-00078,2023-12-05,UK_REP_03,Vaccines,64129.84,0.24,UK-OPP-00078,Pipeline,2024-01-30,GBP,2023-12-05
UK-REC-00079,2023-12-07,UK_REP_01,Therapeutics,40056.13,0.51,UK-OPP-00079,Upside,2024-01-15,GBP,2023-12-07
UK-REC-00080,2023-12-15,UK_REP_03,Vaccines,49751.54,0.87,UK-OPP-00080,Commit,2024-02-04,GBP,2023-12-15
UK-REC-00081,2023-12-17,UK_REP_04,Devices,61669.84,0.84,UK-OPP-00081,Commit,2024-04-15,GBP,2023-12-17
UK-REC-00082,2023-12-18,UK_REP_02,Therapeutics,64834.64,0.31,UK-OPP-00082,Pipeline,2024-03-14,GBP,2023-12-18
UK-REC-00083,2023-12-18,UK_REP_03,Diagnostics,18598.97,0.6,UK-OPP-00083,Upside,2024-04-10,GBP,2023-12-18
UK-REC-00084,2023-12-18,UK_REP_03,Therapeutics,12082.93,0.56,UK-OPP-00084,Upside,2024-03-12,GBP,2023-12-18
UK-REC-00085,2023-12-20,UK_REP_01,Therapeutics,106473.03,0.26,UK-OPP-00085,Pipeline,2024-03-29,GBP,2023-12-20
UK-REC-00086,2023-12-20,UK_REP_03,Vaccines,102635.22,0.86,UK-OPP-00086,Commit,2024-02-25,GBP,2023-12-20
UK-REC-00087,2023-12-20,UK_REP_01,Devices,68416.56,0.92,UK-OPP-00087,Commit,2024-03-03,GBP,2023-12-20
UK-REC-00088,2023-12-21,UK_REP_01,Vaccines,98443.24,0.83,UK-OPP-00088,Commit,2024-03-21,GBP,2023-12-21
UK-REC-00089,2023-12-22,UK_REP_04,Therapeutics,119063.17,0.89,UK-OPP-00089,Commit,2024-03-22,GBP,2023-12-22
UK-REC-00090,2023-12-23,UK_REP_02,Therapeutics,46523.75,0.58,UK-OPP-00090,Upside,2024-03-05,GBP,2023-12-23
UK-REC-00091,2023-12-25,UK_REP_04,Diagnostics,37740.19,0.57,UK-OPP-00091,Upside,2024-01-24,GBP,2023-12-25
UK-REC-00092,2023-12-26,UK_REP_04,Vaccines,123522.31,0.13,UK-OPP-00092,Pipeline,2024-04-04,GBP,2023-12-26
UK-REC-00093,2023-12-30,UK_REP_03,Devices,56573.67,1.0,UK-OPP-00093,Closed Won,2024-04-07,GBP,2023-12-30
UK-REC-00094,2024-01-02,UK_REP_03,Therapeutics,37316.32,0.86,UK-OPP-00094,Commit,2024-02-15,GBP,2024-01-02
UK-REC-00095,2024-01-02,UK_REP_02,Devices,15150.07,0.95,UK-OPP-00095,Commit,2024-02-20,GBP,2024-01-02
UK-REC-00096,2024-01-07,UK_REP_04,Devices,78288.36,0.52,UK-OPP-00096,Upside,2024-04-19,GBP,2024-01-07
UK-REC-00097,2024-01-08,UK_REP_03,Therapeutics,92698.23,0.33,UK-OPP-00097,Pipeline,2024-02-07,GBP,2024-01-08
UK-REC-00098,2024-01-09,UK_REP_04,Devices,30626.0,1.0,UK-OPP-00098,Closed Won,2024-03-09,GBP,2024-01-09
UK-REC-00099,2024-01-09,UK_REP_03,Devices,60566.8,0.29,UK-OPP-00099,Pipeline,2024-04-26,GBP,2024-01-09
UK-REC-00100,2024-01-12,UK_REP_04,Therapeutics,19344.93,1.0,UK-OPP-00100,Closed Won,2024-02-18,GBP,2024-01-12
UK-REC-00101,2024-01-13,UK_REP_03,Vaccines,18061.76,0.67,UK-OPP-00101,Upside,2024-03-06,GBP,2024-01-13
UK-REC-00102,2024-01-14,UK_REP_04,Devices,51953.23,0.0,UK-OPP-00102,Closed Lost,2024-05-10,GBP,2024-01-14
UK-REC-00103,2024-01-16,UK_REP_02,Therapeutics,24897.45,0.9,UK-OPP-00103,Commit,2024-03-26,GBP,2024-01-16
UK-REC-00104,2024-01-18,UK_REP_03,Vaccines,86048.61,1.0,UK-OPP-00104,Closed Won,2024-04-25,GBP,2024-01-18
UK-REC-00105,2024-01-19,UK_REP_02,Vaccines,52432.43,1.0,UK-OPP-00105,Closed Won,2024-03-10,GBP,2024-01-19
UK-REC-00106,2024-01-21,UK_REP_04,Therapeutics,93859.63,0.72,UK-OPP-00106,Upside,2024-05-09,GBP,2024-01-21
UK-REC-00107,2024-01-22,UK_REP_03,Therapeutics,58385.24,0.25,UK-OPP-00107,Pipeline,2024-04-22,GBP,2024-01-22
UK-REC-00108,2024-01-28,UK_REP_02,Diagnostics,55885.41,0.92,UK-OPP-00108,Commit,2024-04-17,GBP,2024-01-28
UK-REC-00109,2024-01-29,UK_REP_03,Therapeutics,22226.47,0.21,UK-OPP-00109,Pipeline,2024-03-09,GBP,2024-01-29
UK-REC-00110,2024-01-30,UK_REP_02,Therapeutics,18332.42,0.89,UK-OPP-00110,Commit,2024-04-21,GBP,2024-01-30
UK-REC-00111,2024-01-31,UK_REP_01,Devices,30054.24,0.55,UK-OPP-00111,Upside,2024-03-15,GBP,2024-01-31
UK-REC-00112,2024-02-01,UK_REP_03,Vaccines,40854.64,0.2,UK-OPP-00112,Pipeline,2024-04-11,GBP,2024-02-01
UK-REC-00113,2024-02-02,UK_REP_04,Devices,93187.49,0.71,UK-OPP-00113,Upside,2024-04-23,GBP,2024-02-02
UK-REC-00114,2024-02-04,UK_REP_02,Devices,50914.22,0.86,UK-OPP-00114,Commit,2024-05-17,GBP,2024-02-04
UK-REC-00115,2024-02-04,UK_REP_04,Devices,9731.13,0.26,UK-OPP-00115,Pipeline,2024-06-01,GBP,2024-02-04
UK-REC-00116,2024-02-06,UK_REP_03,Therapeutics,93461.1,0.45,UK-OPP-00116,Pipeline,2024-04-30,GBP,2024-02-06
UK-REC-00117,2024-02-07,UK_REP_02,Therapeutics,28989.31,0.0,UK-OPP-00117,Closed Lost,2024-04-15,GBP,2024-02-07
UK-REC-00118,2024-02-09,UK_REP_01,Diagnostics,54302.15,0.18,UK-OPP-00118,Pipeline,2024-04-24,GBP,2024-02-09
UK-REC-00119,2024-02-11,UK_REP_01,Therapeutics,43200.8,0.0,UK-OPP-00119,Closed Lost,2024-06-05,GBP,2024-02-11
UK-REC-00120,2024-02-16,UK_REP_02,Devices,83885.71,1.0,UK-OPP-00120,Closed Won,2024-05-12,GBP,2024-02-16
UK-REC-00121,2024-02-16,UK_REP_04,Therapeutics,22653.43,0.4,UK-OPP-00121,Pipeline,2024-05-28,GBP,2024-02-16
UK-REC-00122,2024-02-19,UK_REP_01,Vaccines,40809.24,0.87,UK-OPP-00122,Commit,2024-05-16,GBP,2024-02-19
UK-REC-00123,2024-02-20,UK_REP_04,Devices,19696.13,0.95,UK-OPP-00123,Commit,2024-05-23,GBP,2024-02-20
UK-REC-00124,2024-02-25,UK_REP_02,Diagnostics,51124.2,0.94,UK-OPP-00124,Commit,2024-05-23,GBP,2024-02-25
UK-REC-00125,2024-02-28,UK_REP_02,Diagnostics,74143.19,0.74,UK-OPP-00125,Upside,2024-05-23,GBP,2024-02-28
UK-REC-00126,2024-02-28,UK_REP_02,Therapeutics,35080.7,1.0,UK-OPP-00126,Closed Won,2024-06-12,GBP,2024-02-28
UK-REC-00127,2024-03-02,UK_REP_01,Devices,72985.94,0.14,UK-OPP-00127,Pipeline,2024-05-02,GBP,2024-03-02
UK-REC-00128,2024-03-02,UK_REP_04,Therapeutics,93963.53,0.9,UK-OPP-00128,Commit,2024-06-17,GBP,2024-03-02
UK-REC-00129,2024-03-03,UK_REP_04,Vaccines,33476.07,0.14,UK-OPP-00129,Pipeline,2024-04-09,GBP,2024-03-03
UK-REC-00130,2024-03-04,UK_REP_01,Vaccines,49751.06,0.83,UK-OPP-00130,Commit,2024-06-09,GBP,2024-03-04
UK-REC-00131,2024-03-05,UK_REP_04,Vaccines,57957.07,0.58,UK-OPP-00131,Upside,2024-06-22,GBP,2024-03-05
UK-REC-00132,2024-03-07,UK_REP_04,Vaccines,102194.61,0.81,UK-OPP-00132,Commit,2024-06-15,GBP,2024-03-07
UK-REC-00133,2024-03-09,UK_REP_02,Therapeutics,101173.56,0.27,UK-OPP-00133,Pipeline,2024-04-18,GBP,2024-03-09
UK-REC-00134,2024-03-11,UK_REP_04,Diagnostics,34305.66,0.59,UK-OPP-00134,Upside,2024-06-01,GBP,2024-03-11
UK-REC-00135,2024-03-15,UK_REP_02,Devices,98676.07,0.88,UK-OPP-00135,Commit,2024-04-17,GBP,2024-03-15
UK-REC-00136,2024-03-18,UK_REP_02,Vaccines,52390.21,1.0,UK-OPP-00136,Closed Won,2024-05-30,GBP,2024-03-18
UK-REC-00137,2024-03-19,UK_REP_03,Vaccines,100910.84,0.32,UK-OPP-00137,Pipeline,2024-05-09,GBP,2024-03-19
UK-REC-00138,2024-03-25,UK_REP_04,Vaccines,40513.86,1.0,UK-OPP-00138,Closed Won,2024-06-14,GBP,2024-03-25
UK-REC-00139,2024-03-27,UK_REP_04,Diagnostics,85293.34,1.0,UK-OPP-00139,Closed Won,2024-07-08,GBP,2024-03-27
UK-REC-00140,2024-03-27,UK_REP_04,Therapeutics,28178.87,1.0,UK-OPP-00140,Closed Won,2024-07-06,GBP,2024-03-27
UK-REC-00141,2024-03-29,UK_REP_01,Therapeutics,73522.39,0.38,UK-OPP-00141,Pipeline,2024-06-25,GBP,2024-03-29
UK-REC-00142,2024-03-29,UK_REP_01,Vaccines,22770.3,0.84,UK-OPP-00142,Commit,2024-06-19,GBP,2024-03-29
UK-REC-00143,2024-03-30,UK_REP_01,Devices,9518.43,0.36,UK-OPP-00143,Pipeline,2024-05-21,GBP,2024-03-30
UK-REC-00144,2024-04-03,UK_REP_01,Vaccines,49735.86,1.0,UK-OPP-00144,Closed Won,2024-07-25,GBP,2024-04-03
UK-REC-00145,2024-04-04,UK_REP_03,Therapeutics,63072.37,0.53,UK-OPP-00145,Upside,2024-07-02,GBP,2024-04-04
UK-REC-00146,2024-04-04,UK_REP_03,Vaccines,87009.78,0.9,UK-OPP-00146,Commit,2024-07-03,GBP,2024-04-04
UK-REC-00147,2024-04-08,UK_REP_03,Devices,57527.81,0.31,UK-OPP-00147,Pipeline,2024-06-01,GBP,2024-04-08
UK-REC-00148,2024-04-09,UK_REP_01,Devices,13196.43,0.94,UK-OPP-00148,Commit,2024-07-11,GBP,2024-04-09
UK-REC-00149,2024-04-09,UK_REP_01,Vaccines,69831.69,0.86,UK-OPP-00149,Commit,2024-07-31,GBP,2024-04-09
UK-REC-00150,2024-04-10,UK_REP_04,Diagnostics,29072.42,1.0,UK-OPP-00150,Closed Won,2024-06-14,GBP,2024-04-10
UK-REC-00151,2024-04-11,UK_REP_01,Therapeutics,40963.36,0.45,UK-OPP-00151,Pipeline,2024-05-13,GBP,2024-04-11
UK-REC-00152,2024-04-12,UK_REP_02,Devices,14646.85,0.0,UK-OPP-00152,Closed Lost,2024-07-07,GBP,2024-04-12
UK-REC-00153,2024-04-13,UK_REP_01,Diagnostics,92540.38,0.17,UK-OPP-00153,Pipeline,2024-07-13,GBP,2024-04-13
UK-REC-00154,2024-04-13,UK_REP_02,Devices,61774.59,0.57,UK-OPP-00154,Upside,2024-05-20,GBP,2024-04-13
UK-REC-00155,2024-04-15,UK_REP_03,Devices,84701.2,0.0,UK-OPP-00155,Closed Lost,2024-05-16,GBP,2024-04-15
UK-REC-00156,2024-04-15,UK_REP_04,Therapeutics,57854.78,1.0,UK-OPP-00156,Closed Won,2024-05-31,GBP,2024-04-15
UK-REC-00157,2024-04-19,UK_REP_03,Diagnostics,35850.16,0.8,UK-OPP-00157,Commit,2024-06-21,GBP,2024-04-19
UK-REC-00158,2024-04-24,UK_REP_04,Therapeutics,67603.63,0.44,UK-OPP-00158,Pipeline,2024-08-15,GBP,2024-04-24
UK-REC-00159,2024-04-24,UK_REP_01,Therapeutics,78477.31,0.23,UK-OPP-00159,Pipeline,2024-06-03,GBP,2024-04-24
UK-REC-00160,2024-04-26,UK_REP_02,Vaccines,65610.58,0.1,UK-OPP-00160,Pipeline,2024-07-06,GBP,2024-04-26
UK-REC-00161,2024-05-07,UK_REP_01,Therapeutics,29561.33,0.71,UK-OPP-00161,Upside,2024-08-30,GBP,2024-05-07
UK-REC-00162,2024-05-10,UK_REP_04,Devices,43472.8,0.12,UK-OPP-00162,Pipeline,2024-07-31,GBP,2024-05-10
UK-REC-00163,2024-05-13,UK_REP_03,Diagnostics,57613.03,1.0,UK-OPP-00163,Closed Won,2024-06-15,GBP,2024-05-13
UK-REC-00164,2024-05-14,UK_REP_02,Diagnostics,47195.44,0.62,UK-OPP-00164,Upside,2024-08-22,GBP,2024-05-14
UK-REC-00165,2024-05-20,UK_REP_02,Devices,48807.12,1.0,UK-OPP-00165,Closed Won,2024-08-22,GBP,2024-05-20
UK-REC-00166,2024-05-21,UK_REP_04,Devices,83821.18,1.0,UK-OPP-00166,Closed Won,2024-09-07,GBP,2024-05-21
UK-REC-00167,2024-05-22,UK_REP_03,Diagnostics,41839.19,0.0,UK-OPP-00167,Closed Lost,2024-07-31,GBP,2024-05-22
UK-REC-00168,2024-05-24,UK_REP_04,Diagnostics,9439.68,0.71,UK-OPP-00168,Upside,2024-07-26,GBP,2024-05-24
UK-REC-00169,2024-05-25,UK_REP_01,Devices,44219.42,1.0,UK-OPP-00169,Closed Won,2024-06-25,GBP,2024-05-25
UK-REC-00170,2024-05-29,UK_REP_02,Devices,46332.9,1.0,UK-OPP-00170,Closed Won,2024-08-18,GBP,2024-05-29
UK-REC-00171,2024-06-03,UK_REP_03,Diagnostics,56599.27,0.35,UK-OPP-00171,Pipeline,2024-08-15,GBP,2024-06-03
UK-REC-00172,2024-06-06,UK_REP_03,Therapeutics,51817.9,0.94,UK-OPP-00172,Commit,2024-09-17,GBP,2024-06-06
UK-REC-00173,2024-06-08,UK_REP_02,Vaccines,43596.58,0.62,UK-OPP-00173,Upside,2024-08-13,GBP,2024-06-08
UK-REC-00174,2024-06-09,UK_REP_04,Vaccines,37903.31,0.82,UK-OPP-00174,Commit,2024-10-01,GBP,2024-06-09
UK-REC-00175,2024-06-09,UK_REP_03,Therapeutics,9577.21,0.0,UK-OPP-00175,Closed Lost,2024-08-09,GBP,2024-06-09
UK-REC-00176,2024-06-16,UK_REP_01,Therapeutics,7963.83,0.15,UK-OPP-00176,Pipeline,2024-09-07,GBP,2024-06-16
UK-REC-00177,2024-06-17,UK_REP_03,Therapeutics,17264.38,0.7,UK-OPP-00177,Upside,2024-09-24,GBP,2024-06-17
UK-REC-00178,2024-06-19,UK_REP_03,Diagnostics,70967.67,1.0,UK-OPP-00178,Closed Won,2024-09-21,GBP,2024-06-19
UK-REC-00179,2024-06-23,UK_REP_02,Devices,44537.01,0.87,UK-OPP-00179,Commit,2024-09-07,GBP,2024-06-23
UK-REC-00180,2024-06-27,UK_REP_02,Diagnostics,80467.77,0.53,UK-OPP-00180,Upside,2024-10-25,GBP,2024-06-27
UK-REC-00181,2024-06-27,UK_REP_02,Vaccines,15159.14,1.0,UK-OPP-00181,Closed Won,2024-10-15,GBP,2024-06-27
UK-REC-00182,2024-07-04,UK_REP_02,Diagnostics,55692.63,1.0,UK-OPP-00182,Closed Won,2024-10-21,GBP,2024-07-04
UK-REC-00183,2024-07-05,UK_REP_03,Therapeutics,60906.68,0.87,UK-OPP-00183,Commit,2024-10-07,GBP,2024-07-05
UK-REC-00184,2024-07-06,UK_REP_02,Diagnostics,15083.0,0.18,UK-OPP-00184,Pipeline,2024-08-12,GBP,2024-07-06
UK-REC-00185,2024-07-09,UK_REP_03,Devices,70711.27,0.86,UK-OPP-00185,Commit,2024-11-06,GBP,2024-07-09
UK-REC-00186,2024-07-13,UK_REP_02,Vaccines,103577.97,0.51,UK-OPP-00186,Upside,2024-10-18,GBP,2024-07-13
UK-REC-00187,2024-07-13,UK_REP_02,Devices,56935.1,0.57,UK-OPP-00187,Upside,2024-10-26,GBP,2024-07-13
UK-REC-00188,2024-07-14,UK_REP_01,Devices,100298.34,0.11,UK-OPP-00188,Pipeline,2024-08-26,GBP,2024-07-14
UK-REC-00189,2024-07-15,UK_REP_01,Vaccines,61903.58,1.0,UK-OPP-00189,Closed Won,2024-10-08,GBP,2024-07-15
UK-REC-00190,2024-07-15,UK_REP_02,Devices,103430.99,1.0,UK-OPP-00190,Closed Won,2024-10-25,GBP,2024-07-15
UK-REC-00191,2024-07-17,UK_REP_04,Diagnostics,35928.56,0.93,UK-OPP-00191,Commit,2024-10-30,GBP,2024-07-17
UK-REC-00192,2024-07-17,UK_REP_04,Diagnostics,23040.63,0.28,UK-OPP-00192,Pipeline,2024-10-24,GBP,2024-07-17
