unit_id,make,model,purchase_date,refrigerant_type,refrigerant_volume,refrigerant_percentage_loss_per_year,used_for
REF-WIN-003,Liebherr,LKUv 1613,2022-04-11,R-600a,0.07 kg,0.2,Vaccine finished product cold storage 2-8°C - Winchester distribution
REF-WIN-004,Carrier,30XA Air-Cooled Chiller,2018-05-29,R-134a,56.0 kg,1.9,Central chiller for Winchester R&D building
REF-WIN-005,Helmer Scientific,PC Series PC1200i,2020-07-07,R-134a,1.9 kg,1.3,Controlled temperature storage of cell therapy products 2-8°C - Winchester
REF-WIN-006,Thermo Fisher Scientific,Forma 88000 Series,2023-01-25,R-170,1.5 kg,0.3,-80°C freezer for monoclonal antibody intermediate storage - Winchester
REF-WIN-007,Daikin,EWAD-TZ,2017-06-13,R-32,14.0 kg,2.2,Process chiller for Winchester pilot plant manufacturing
REF-LON-001,Thermo Fisher Scientific,TSX Series TSX5005SA,2020-10-20,R-134a,1.4 kg,0.8,Cold storage of reference samples and regulatory retention samples 2-8°C - London
REF-LON-002,Panasonic,MDF-U76VC-PE,2021-03-08,R-290,0.9 kg,0.5,-80°C archive freezer for London medical affairs office
REF-LON-003,Carrier,AquaForce 30XAB,2019-02-14,R-134a,61.0 kg,1.7,Chiller for London headquarters office building
REF-LON-004,Liebherr,LKPv 6524,2022-07-19,R-600a,0.09 kg,0.2,Pharmacy-grade refrigerator 2-8°C for sample management - London
REF-LON-005,Thermo Fisher Scientific,Forma 88000 Series,2018-11-06,R-170,1.5 kg,1.6,-80°C freezer for legacy compound library - London (approaching end of life)
REF-AMS-001,Thermo Fisher Scientific,TSX Series TSX2305SA,2022-02-03,R-134a,1.2 kg,0.4,Cold store 2-8°C for European distribution hub - Amsterdam
REF-AMS-002,Panasonic,MDF-DU702VH-PE,2021-08-17,R-290,1.1 kg,0.6,-80°C deep freeze for regulatory submission sample archive - Amsterdam
REF-AMS-003,Carrier,AquaEdge 19DV,2020-06-10,R-1234ze,71.0 kg,1.0,Low-GWP chiller for Amsterdam office and warehouse (sustainability programme)
REF-AMS-004,Liebherr,GKv 6460,2023-04-22,R-600a,0.14 kg,0.1,Bulk finished goods cold store 2-8°C - Amsterdam European distribution centre
REF-AMS-005,Daikin,EWAD-TZ,2021-12-01,R-32,16.0 kg,0.9,Process cooling for Amsterdam analytical laboratory
REF-AMS-006,Thermo Fisher Scientific,Forma 88000 Series,2022-09-29,R-170,1.5 kg,0.3,-80°C freezer for clinical trial IMP storage - Amsterdam
REF-BUC-001,Thermo Fisher Scientific,TSX Series TSX2305SA,2020-05-14,R-134a,1.2 kg,1.0,Cold store 2-8°C for API raw material storage - Bucharest manufacturing
REF-BUC-002,Panasonic,MDF-U76VC-PE,2019-01-23,R-290,0.9 kg,1.3,-80°C archive freezer for batch retention samples - Bucharest QC
REF-BUC-003,Liebherr,LKUv 1613,2021-10-06,R-600a,0.07 kg,0.3,Pharmacy cold store for finished product QC testing samples 2-8°C - Bucharest
REF-BUC-004,Carrier,WeatherMaster 50XC,2017-09-11,R-410A,14.0 kg,2.7,Rooftop HVAC unit for Bucharest manufacturing office wing (ageing unit)
REF-BUC-005,Helmer Scientific,iLR Series iLR256-GX,2022-03-30,R-404A,3.4 kg,0.8,Walk-in cold room for finished goods packaging and release - Bucharest warehouse
REF-BUC-006,Thermo Fisher Scientific,Forma 88000 Series,2023-06-15,R-170,1.5 kg,0.2,-80°C freezer for vaccine drug substance storage - Bucharest
REF-BUC-007,Daikin,VRV IV-S,2020-09-18,R-32,9.5 kg,1.2,Multi-split HVAC system for Bucharest cleanroom temperature control
