estate,source_system_qualified_name,source_system_name,target_system_qualified_name,target_system_name,interaction_id,supply_chain_qualified_name,supply_chain_id,wire_label,data_exchanged,description,component1,component2
Coco core,System::coco-hrim,Human Resources Information Manager (HRIM),System::MFCTRL9482,Austin Manufacturing Control System,,InformationSupplyChain::Batch Manufacturing and Release Information Supply Chain,Batch-Manufacturing-Release,operator qualification,"worker pseudonym, qualifications, currency",The evidence that the person performing and the person checking were qualified to do so arrives from the people chain and must be current at the moment of signature.,CompetencyRegister,ManufacturingExecution
Coco core,System::coco-hrim,Human Resources Information Manager (HRIM),System::MFCTRL9482,Austin Manufacturing Control System,,InformationSupplyChain::Workforce Competency and Qualification Information Supply Chain,Workforce-Competency-Qualification,operator qualification,"worker pseudonym, qualifications, currency",The evidence that the person performing and the person checking were qualified to do so arrives from the people chain and must be current at the moment of signature.,CompetencyRegister,ManufacturingExecution
Coco core,System::coco-hrim,Human Resources Information Manager (HRIM),System::ed-mfg-control,Edmonton Manufacturing Control System,,InformationSupplyChain::Batch Manufacturing and Release Information Supply Chain,Batch-Manufacturing-Release,operator qualification,"worker pseudonym, qualifications, currency",The evidence that the person performing and the person checking were qualified to do so arrives from the people chain and must be current at the moment of signature.,CompetencyRegister,ManufacturingExecution
Coco core,System::coco-hrim,Human Resources Information Manager (HRIM),System::ed-mfg-control,Edmonton Manufacturing Control System,,InformationSupplyChain::Workforce Competency and Qualification Information Supply Chain,Workforce-Competency-Qualification,operator qualification,"worker pseudonym, qualifications, currency",The evidence that the person performing and the person checking were qualified to do so arrives from the people chain and must be current at the moment of signature.,CompetencyRegister,ManufacturingExecution
Coco core,System::coco-hrim,Human Resources Information Manager (HRIM),System::winch-mfg-control,Winchester Manufacturing Control System,,InformationSupplyChain::Batch Manufacturing and Release Information Supply Chain,Batch-Manufacturing-Release,operator qualification,"worker pseudonym, qualifications, currency",The evidence that the person performing and the person checking were qualified to do so arrives from the people chain and must be current at the moment of signature.,CompetencyRegister,ManufacturingExecution
Coco core,System::coco-hrim,Human Resources Information Manager (HRIM),System::winch-mfg-control,Winchester Manufacturing Control System,,InformationSupplyChain::Workforce Competency and Qualification Information Supply Chain,Workforce-Competency-Qualification,operator qualification,"worker pseudonym, qualifications, currency",The evidence that the person performing and the person checking were qualified to do so arrives from the people chain and must be current at the moment of signature.,CompetencyRegister,ManufacturingExecution
Austin,SoftwareServer::AUS-SYS-020::SN-LMS-AU-20200110,Cornerstone OnDemand LMS,SoftwareServer::AUS-SYS-022::SN-MES-AU-20180601,Siemens Opcenter MES,,InformationSupplyChain::Batch Manufacturing and Release Information Supply Chain,Batch-Manufacturing-Release,operator qualification,"worker pseudonym, qualifications, currency",The evidence that the person performing and the person checking were qualified to do so arrives from the people chain and must be current at the moment of signature.,CompetencyRegister,ManufacturingExecution
Austin,SoftwareServer::AUS-SYS-020::SN-LMS-AU-20200110,Cornerstone OnDemand LMS,SoftwareServer::AUS-SYS-022::SN-MES-AU-20180601,Siemens Opcenter MES,,InformationSupplyChain::Workforce Competency and Qualification Information Supply Chain,Workforce-Competency-Qualification,operator qualification,"worker pseudonym, qualifications, currency",The evidence that the person performing and the person checking were qualified to do so arrives from the people chain and must be current at the moment of signature.,CompetencyRegister,ManufacturingExecution
Austin,SoftwareServer::AUS-SYS-022::SN-MES-AU-20180601,Siemens Opcenter MES,SoftwareServer::AUS-SYS-026::SN-EBR-AU-20200301,Veeva Vault EBR,INT-AUS-003,InformationSupplyChain::Batch Manufacturing and Release Information Supply Chain,Batch-Manufacturing-Release,execution record,"steps performed, materials used, equipment, signatures","The record is assembled contemporaneously, because reconstruction afterwards is precisely what the data integrity obligations forbid.",ManufacturingExecution,ElectronicBatchRecord
Bucharest,SoftwareServer::SYS-003::Siemens Opcenter MES,Siemens Opcenter MES,SoftwareServer::SYS-024::OpenText ECM,OpenText ECM,INT-005,InformationSupplyChain::Batch Manufacturing and Release Information Supply Chain,Batch-Manufacturing-Release,execution record,"steps performed, materials used, equipment, signatures","The record is assembled contemporaneously, because reconstruction afterwards is precisely what the data integrity obligations forbid.",ManufacturingExecution,ElectronicBatchRecord
Austin,SoftwareServer::AUS-SYS-007::KAFKA-AUS-001,Apache Kafka,SoftwareServer::AUS-SYS-026::SN-EBR-AU-20200301,Veeva Vault EBR,,InformationSupplyChain::Batch Manufacturing and Release Information Supply Chain,Batch-Manufacturing-Release,process parameters,time series of critical process parameters,"The evidence that the process stayed within its validated range, at a resolution nobody reads unless something went wrong.",ProcessHistorian,ElectronicBatchRecord
Austin,SoftwareServer::AUS-SYS-001::CDH-AUS-7X-00142,Cloudera Data Platform (Primary Cluster),SoftwareServer::AUS-SYS-026::SN-EBR-AU-20200301,Veeva Vault EBR,,InformationSupplyChain::Batch Manufacturing and Release Information Supply Chain,Batch-Manufacturing-Release,process parameters,time series of critical process parameters,"The evidence that the process stayed within its validated range, at a resolution nobody reads unless something went wrong.",ProcessHistorian,ElectronicBatchRecord
Austin,SoftwareServer::AUS-SYS-023::SN-SCA-AU-20180610,Rockwell FactoryTalk SCADA,SoftwareServer::AUS-SYS-026::SN-EBR-AU-20200301,Veeva Vault EBR,,InformationSupplyChain::Batch Manufacturing and Release Information Supply Chain,Batch-Manufacturing-Release,process parameters,time series of critical process parameters,"The evidence that the process stayed within its validated range, at a resolution nobody reads unless something went wrong.",ProcessHistorian,ElectronicBatchRecord
Bucharest,SoftwareServer::SYS-015::Rockwell FactoryTalk,Rockwell FactoryTalk,SoftwareServer::SYS-024::OpenText ECM,OpenText ECM,,InformationSupplyChain::Batch Manufacturing and Release Information Supply Chain,Batch-Manufacturing-Release,process parameters,time series of critical process parameters,"The evidence that the process stayed within its validated range, at a resolution nobody reads unless something went wrong.",ProcessHistorian,ElectronicBatchRecord
Bucharest,SoftwareServer::SYS-015::Rockwell FactoryTalk,Rockwell FactoryTalk,SoftwareServer::SYS-003::Siemens Opcenter MES,Siemens Opcenter MES,INT-001,InformationSupplyChain::Batch Manufacturing and Release Information Supply Chain,Batch-Manufacturing-Release,process parameters,time series of critical process parameters,"The evidence that the process stayed within its validated range, at a resolution nobody reads unless something went wrong.",ProcessHistorian,ElectronicBatchRecord
Austin,SoftwareServer::AUS-SYS-027::SN-CHR-AU-20180615,Waters Empower 3,SoftwareServer::AUS-SYS-026::SN-EBR-AU-20200301,Veeva Vault EBR,,InformationSupplyChain::Batch Manufacturing and Release Information Supply Chain,Batch-Manufacturing-Release,finished product results,"release testing results, certificate of analysis",Release testing results complete the record and are the last input the certification decision waits on.,LaboratoryInformationManagement,ElectronicBatchRecord
Austin,SoftwareServer::AUS-SYS-024::SN-LIM-AU-20190820,LabWare Enterprise LIMS,SoftwareServer::AUS-SYS-026::SN-EBR-AU-20200301,Veeva Vault EBR,,InformationSupplyChain::Batch Manufacturing and Release Information Supply Chain,Batch-Manufacturing-Release,finished product results,"release testing results, certificate of analysis",Release testing results complete the record and are the last input the certification decision waits on.,LaboratoryInformationManagement,ElectronicBatchRecord
Austin,SoftwareServer::AUS-SYS-022::SN-MES-AU-20180601,Siemens Opcenter MES,SoftwareServer::AUS-SYS-025::SN-QMS-AU-20190901,Veeva Vault QMS,INT-AUS-004,InformationSupplyChain::Batch Manufacturing and Release Information Supply Chain,Batch-Manufacturing-Release,raise deviation,"departure from approved process, context","A deviation raised in production is a gate on certification, which is why it sits inside the release flow rather than beside it.",ManufacturingExecution,DeviationAndCAPAManagement
Bucharest,SoftwareServer::SYS-003::Siemens Opcenter MES,Siemens Opcenter MES,SoftwareServer::SYS-005::Trackwise Digital,Trackwise Digital,,InformationSupplyChain::Batch Manufacturing and Release Information Supply Chain,Batch-Manufacturing-Release,raise deviation,"departure from approved process, context","A deviation raised in production is a gate on certification, which is why it sits inside the release flow rather than beside it.",ManufacturingExecution,DeviationAndCAPAManagement
Bucharest,SoftwareServer::SYS-003::Siemens Opcenter MES,Siemens Opcenter MES,SoftwareServer::SYS-002::Veeva Vault QMS,Veeva Vault QMS,INT-003,InformationSupplyChain::Batch Manufacturing and Release Information Supply Chain,Batch-Manufacturing-Release,raise deviation,"departure from approved process, context","A deviation raised in production is a gate on certification, which is why it sits inside the release flow rather than beside it.",ManufacturingExecution,DeviationAndCAPAManagement
Austin,SoftwareServer::AUS-SYS-025::SN-QMS-AU-20190901,Veeva Vault QMS,SoftwareServer::AUS-SYS-026::SN-EBR-AU-20200301,Veeva Vault EBR,INT-AUS-064,InformationSupplyChain::Batch Manufacturing and Release Information Supply Chain,Batch-Manufacturing-Release,deviation disposition,"investigation outcome, impact on batch","The batch record carries the deviation and its closure, because an open deviation blocks the certification decision.",DeviationAndCAPAManagement,ElectronicBatchRecord
Austin,SoftwareServer::AUS-SYS-043::SN-MDM-AU-20220301,Informatica MDM,SoftwareServer::AUS-SYS-025::SN-QMS-AU-20190901,Veeva Vault QMS,,InformationSupplyChain::Batch Manufacturing and Release Information Supply Chain,Batch-Manufacturing-Release,product and market requirements,"specification, pack configuration, authorised markets","Certification is market-specific, so the destination has to be known before the record is closed.",ProductMasterRegister,BatchReviewAndCertification
Austin,SoftwareServer::AUS-SYS-043::SN-MDM-AU-20220301,Informatica MDM,SoftwareServer::AUS-SYS-025::SN-QMS-AU-20190901,Veeva Vault QMS,,InformationSupplyChain::New Drug Product Details Information Supply Chain,New-Drug-Product-Details,product and market requirements,"specification, pack configuration, authorised markets","Certification is market-specific, so the destination has to be known before the record is closed.",ProductMasterRegister,BatchReviewAndCertification
Austin,SoftwareServer::AUS-SYS-043::SN-MDM-AU-20220301,Informatica MDM,SoftwareServer::AUS-SYS-026::SN-EBR-AU-20200301,Veeva Vault EBR,,InformationSupplyChain::Batch Manufacturing and Release Information Supply Chain,Batch-Manufacturing-Release,product and market requirements,"specification, pack configuration, authorised markets","Certification is market-specific, so the destination has to be known before the record is closed.",ProductMasterRegister,BatchReviewAndCertification
Austin,SoftwareServer::AUS-SYS-043::SN-MDM-AU-20220301,Informatica MDM,SoftwareServer::AUS-SYS-026::SN-EBR-AU-20200301,Veeva Vault EBR,,InformationSupplyChain::New Drug Product Details Information Supply Chain,New-Drug-Product-Details,product and market requirements,"specification, pack configuration, authorised markets","Certification is market-specific, so the destination has to be known before the record is closed.",ProductMasterRegister,BatchReviewAndCertification
Austin,SoftwareServer::AUS-SYS-026::SN-EBR-AU-20200301,Veeva Vault EBR,SoftwareServer::AUS-SYS-025::SN-QMS-AU-20190901,Veeva Vault QMS,,InformationSupplyChain::Batch Manufacturing and Release Information Supply Chain,Batch-Manufacturing-Release,batch record for review,complete assembled batch record,The single human decision the whole chain exists to support.,ElectronicBatchRecord,BatchReviewAndCertification
Coco core,System::cocoProducts,Coco Product Management,System::austin-haz-mat,Austin HazMat Inventory,,InformationSupplyChain::Cold Chain and Dangerous Goods Consignment Information Supply Chain,Cold-Chain-Dangerous-Goods,product handling requirements,"storage range, packaging, hazard properties",The product master supplies what the product needs; the classification service decides what the transport rules require.,ProductMasterRegister,TransportClassificationService
Coco core,System::cocoProducts,Coco Product Management,System::austin-haz-mat,Austin HazMat Inventory,,InformationSupplyChain::New Drug Product Details Information Supply Chain,New-Drug-Product-Details,product handling requirements,"storage range, packaging, hazard properties",The product master supplies what the product needs; the classification service decides what the transport rules require.,ProductMasterRegister,TransportClassificationService
Coco core,System::cocoProducts,Coco Product Management,System::coco-haz-mat,Coco HazMat Inventory,,InformationSupplyChain::Cold Chain and Dangerous Goods Consignment Information Supply Chain,Cold-Chain-Dangerous-Goods,product handling requirements,"storage range, packaging, hazard properties",The product master supplies what the product needs; the classification service decides what the transport rules require.,ProductMasterRegister,TransportClassificationService
Coco core,System::cocoProducts,Coco Product Management,System::coco-haz-mat,Coco HazMat Inventory,,InformationSupplyChain::New Drug Product Details Information Supply Chain,New-Drug-Product-Details,product handling requirements,"storage range, packaging, hazard properties",The product master supplies what the product needs; the classification service decides what the transport rules require.,ProductMasterRegister,TransportClassificationService
Coco core,System::coco-hrim,Human Resources Information Manager (HRIM),System::EDDEPOT01,Edmonton Depot Management System,,InformationSupplyChain::Cold Chain and Dangerous Goods Consignment Information Supply Chain,Cold-Chain-Dangerous-Goods,certificated signatory,"worker pseudonym, certificate and expiry","Certification expires, and the expiry is checked at signature rather than at audit.",CompetencyRegister,ShippingDocumentation
Coco core,System::coco-hrim,Human Resources Information Manager (HRIM),System::EDDEPOT01,Edmonton Depot Management System,,InformationSupplyChain::Workforce Competency and Qualification Information Supply Chain,Workforce-Competency-Qualification,certificated signatory,"worker pseudonym, certificate and expiry","Certification expires, and the expiry is checked at signature rather than at audit.",CompetencyRegister,ShippingDocumentation
Coco core,System::coco-hrim,Human Resources Information Manager (HRIM),System::KCDEPOT01,Kansas City Depot Management System,,InformationSupplyChain::Cold Chain and Dangerous Goods Consignment Information Supply Chain,Cold-Chain-Dangerous-Goods,certificated signatory,"worker pseudonym, certificate and expiry","Certification expires, and the expiry is checked at signature rather than at audit.",CompetencyRegister,ShippingDocumentation
Coco core,System::coco-hrim,Human Resources Information Manager (HRIM),System::KCDEPOT01,Kansas City Depot Management System,,InformationSupplyChain::Workforce Competency and Qualification Information Supply Chain,Workforce-Competency-Qualification,certificated signatory,"worker pseudonym, certificate and expiry","Certification expires, and the expiry is checked at signature rather than at audit.",CompetencyRegister,ShippingDocumentation
Coco core,System::coco-hrim,Human Resources Information Manager (HRIM),System::WINCHDEPOT01,Winchester Depot Management System,,InformationSupplyChain::Cold Chain and Dangerous Goods Consignment Information Supply Chain,Cold-Chain-Dangerous-Goods,certificated signatory,"worker pseudonym, certificate and expiry","Certification expires, and the expiry is checked at signature rather than at audit.",CompetencyRegister,ShippingDocumentation
Coco core,System::coco-hrim,Human Resources Information Manager (HRIM),System::WINCHDEPOT01,Winchester Depot Management System,,InformationSupplyChain::Workforce Competency and Qualification Information Supply Chain,Workforce-Competency-Qualification,certificated signatory,"worker pseudonym, certificate and expiry","Certification expires, and the expiry is checked at signature rather than at audit.",CompetencyRegister,ShippingDocumentation
Austin,SoftwareServer::AUS-SYS-020::SN-LMS-AU-20200110,Cornerstone OnDemand LMS,SoftwareServer::AUS-SYS-013::SN-TMS-AU-20211004,Oracle TMS,,InformationSupplyChain::Cold Chain and Dangerous Goods Consignment Information Supply Chain,Cold-Chain-Dangerous-Goods,certificated signatory,"worker pseudonym, certificate and expiry","Certification expires, and the expiry is checked at signature rather than at audit.",CompetencyRegister,ShippingDocumentation
Austin,SoftwareServer::AUS-SYS-020::SN-LMS-AU-20200110,Cornerstone OnDemand LMS,SoftwareServer::AUS-SYS-013::SN-TMS-AU-20211004,Oracle TMS,,InformationSupplyChain::Workforce Competency and Qualification Information Supply Chain,Workforce-Competency-Qualification,certificated signatory,"worker pseudonym, certificate and expiry","Certification expires, and the expiry is checked at signature rather than at audit.",CompetencyRegister,ShippingDocumentation
Austin,SoftwareServer::AUS-SYS-020::SN-LMS-AU-20200110,Cornerstone OnDemand LMS,SoftwareServer::AUS-SYS-015::SN-EDI-AU-20190620,OpenText Trading Grid EDI,,InformationSupplyChain::Cold Chain and Dangerous Goods Consignment Information Supply Chain,Cold-Chain-Dangerous-Goods,certificated signatory,"worker pseudonym, certificate and expiry","Certification expires, and the expiry is checked at signature rather than at audit.",CompetencyRegister,ShippingDocumentation
Austin,SoftwareServer::AUS-SYS-020::SN-LMS-AU-20200110,Cornerstone OnDemand LMS,SoftwareServer::AUS-SYS-015::SN-EDI-AU-20190620,OpenText Trading Grid EDI,,InformationSupplyChain::Workforce Competency and Qualification Information Supply Chain,Workforce-Competency-Qualification,certificated signatory,"worker pseudonym, certificate and expiry","Certification expires, and the expiry is checked at signature rather than at audit.",CompetencyRegister,ShippingDocumentation
Bucharest,SoftwareServer::SYS-022::Proact Cold Chain Monitor,Proact Cold Chain Monitor,SoftwareServer::SYS-003::Siemens Opcenter MES,Siemens Opcenter MES,INT-002,InformationSupplyChain::Cold Chain and Dangerous Goods Consignment Information Supply Chain,Cold-Chain-Dangerous-Goods,transit temperature record,time series of in-transit temperature and location,"A gap in the record is treated as an excursion, because an unmonitored interval cannot be shown to have been within range.",TemperatureMonitoringDevices,ColdChainDataCollector
Coco core,System::procurement01,Coco Pharmaceuticals Procurement,System::KCDEPOT01,Kansas City Depot Management System,,InformationSupplyChain::Physical Inventory Tracking Information Supply Chain,Physical-Inventory-Tracking,approved supplier,"supplier identity, approval and risk status","Receipt from an unapproved supplier is refused here rather than discovered later, which is what makes the onboarding chain worth having.",SupplierMasterRegister,GoodsReceiptAndInspection
Coco core,System::procurement01,Coco Pharmaceuticals Procurement,System::KCDEPOT01,Kansas City Depot Management System,,InformationSupplyChain::Third Party Onboarding and Payment Information Supply Chain,Third-Party-Onboarding-Payment,approved supplier,"supplier identity, approval and risk status","Receipt from an unapproved supplier is refused here rather than discovered later, which is what makes the onboarding chain worth having.",SupplierMasterRegister,GoodsReceiptAndInspection
Coco core,System::procurement01,Coco Pharmaceuticals Procurement,System::WINCHDEPOT01,Winchester Depot Management System,,InformationSupplyChain::Physical Inventory Tracking Information Supply Chain,Physical-Inventory-Tracking,approved supplier,"supplier identity, approval and risk status","Receipt from an unapproved supplier is refused here rather than discovered later, which is what makes the onboarding chain worth having.",SupplierMasterRegister,GoodsReceiptAndInspection
Coco core,System::procurement01,Coco Pharmaceuticals Procurement,System::WINCHDEPOT01,Winchester Depot Management System,,InformationSupplyChain::Third Party Onboarding and Payment Information Supply Chain,Third-Party-Onboarding-Payment,approved supplier,"supplier identity, approval and risk status","Receipt from an unapproved supplier is refused here rather than discovered later, which is what makes the onboarding chain worth having.",SupplierMasterRegister,GoodsReceiptAndInspection
Coco core,System::procurement01,Coco Pharmaceuticals Procurement,System::coco-inventory,Coco Inventory,,InformationSupplyChain::Physical Inventory Tracking Information Supply Chain,Physical-Inventory-Tracking,approved supplier,"supplier identity, approval and risk status","Receipt from an unapproved supplier is refused here rather than discovered later, which is what makes the onboarding chain worth having.",SupplierMasterRegister,GoodsReceiptAndInspection
Coco core,System::procurement01,Coco Pharmaceuticals Procurement,System::coco-inventory,Coco Inventory,,InformationSupplyChain::Third Party Onboarding and Payment Information Supply Chain,Third-Party-Onboarding-Payment,approved supplier,"supplier identity, approval and risk status","Receipt from an unapproved supplier is refused here rather than discovered later, which is what makes the onboarding chain worth having.",SupplierMasterRegister,GoodsReceiptAndInspection
Coco core,System::procurement01,Coco Pharmaceuticals Procurement,System::EDDEPOT01,Edmonton Depot Management System,,InformationSupplyChain::Physical Inventory Tracking Information Supply Chain,Physical-Inventory-Tracking,approved supplier,"supplier identity, approval and risk status","Receipt from an unapproved supplier is refused here rather than discovered later, which is what makes the onboarding chain worth having.",SupplierMasterRegister,GoodsReceiptAndInspection
