component_qualified_name,component_name,business_system_group,estate,system_qualified_name,system_name,confidence,note
CocoPharma::SolutionComponent::OrderToInvoice,Order to Invoice Processing,Finance Systems,Austin,SoftwareServer::AUS-SYS-009::SN-SAP-AU-20180923,SAP S/4HANA,Strong,Invoicing in SAP
CocoPharma::SolutionComponent::OrderToInvoice,Order to Invoice Processing,Finance Systems,Bucharest,SoftwareServer::SYS-001::SAP ERP S/4HANA,SAP ERP S/4HANA,Probable,Order status and invoice data to Veeva CRM
CocoPharma::SolutionComponent::SubledgerFeeds,Subledger Feeds,Finance Systems,Coco core,System::coco-ledgers,Coco Ledgers,Possible,The feeds terminate here
CocoPharma::SolutionComponent::SubledgerFeeds,Subledger Feeds,Finance Systems,Austin,SoftwareServer::AUS-SYS-009::SN-SAP-AU-20180923,SAP S/4HANA,Strong,"MES, Ariba, Workday and Maximo feeds into SAP are loaded interactions"
CocoPharma::SolutionComponent::SubledgerFeeds,Subledger Feeds,Finance Systems,Bucharest,SoftwareServer::SYS-001::SAP ERP S/4HANA,SAP ERP S/4HANA,Strong,"MES, Concur, Workday, Maximo and WMS feeds into SAP"
CocoPharma::SolutionComponent::JournalEntryReview,Journal Entry Review,Finance Systems,Coco core,System::coco-ledgers,Coco Ledgers,Probable,Journal approval is a ledger function
CocoPharma::SolutionComponent::JournalEntryReview,Journal Entry Review,Finance Systems,Austin,SoftwareServer::AUS-SYS-009::SN-SAP-AU-20180923,SAP S/4HANA,Probable,
CocoPharma::SolutionComponent::JournalEntryReview,Journal Entry Review,Finance Systems,Bucharest,SoftwareServer::SYS-001::SAP ERP S/4HANA,SAP ERP S/4HANA,Probable,
CocoPharma::SolutionComponent::GroupConsolidation,Group Consolidation Engine,Finance Systems,Coco core,System::coco-ledgers,Coco Ledgers,Possible,May or may not include group consolidation - ask FinMagic
CocoPharma::SolutionComponent::GroupConsolidation,Group Consolidation Engine,Finance Systems,Austin,SoftwareServer::AUS-SYS-009::SN-SAP-AU-20180923,SAP S/4HANA,Possible,Plant-level only
CocoPharma::SolutionComponent::GroupConsolidation,Group Consolidation Engine,Finance Systems,Bucharest,SoftwareServer::SYS-001::SAP ERP S/4HANA,SAP ERP S/4HANA,Possible,Plant-level only; no consolidation flow between the three ledgers
CocoPharma::SolutionComponent::DisclosureReporting,Disclosure and Statutory Reporting,Finance Systems,Coco core,System::coco-ledgers,Coco Ledgers,Possible,No reporting system in the core
CocoPharma::SolutionComponent::DisclosureReporting,Disclosure and Statutory Reporting,Finance Systems,Austin,SoftwareServer::AUS-SYS-041::SN-BI-AU-20211101,Microsoft Power BI Premium,Possible,Financial statements surfaced in Power BI
CocoPharma::SolutionComponent::DisclosureReporting,Disclosure and Statutory Reporting,Finance Systems,Bucharest,SoftwareServer::SYS-014::PowerBI Enterprise,PowerBI Enterprise,Possible,Financial statements surfaced in Power BI
CocoPharma::SolutionComponent::ControlsEvidenceRepository,Controls Evidence Repository,Finance Systems,Austin,SoftwareServer::AUS-SYS-038::SN-SIEM-AU-20220101,Splunk Enterprise SIEM,Possible,SAP audit log of critical financial transactions
CocoPharma::SolutionComponent::ControlsEvidenceRepository,Controls Evidence Repository,Finance Systems,Bucharest,SoftwareServer::SYS-026::Splunk SIEM,Splunk SIEM,Possible,SAP audit log of critical financial transactions
CocoPharma::SolutionComponent::PaymentDetailChangeControl,Payment Detail Change Control,Finance Systems,Coco core,System::procurement01,Coco Pharmaceuticals Procurement,Possible,Depends on whether bank details live in purchasing or accounts payable
CocoPharma::SolutionComponent::PaymentDetailChangeControl,Payment Detail Change Control,Finance Systems,Coco core,System::coco-ledgers,Coco Ledgers,Possible,Depends on whether bank details live in purchasing or accounts payable
CocoPharma::SolutionComponent::PaymentDetailChangeControl,Payment Detail Change Control,Finance Systems,Austin,SoftwareServer::AUS-SYS-043::SN-MDM-AU-20220301,Informatica MDM,Probable,Golden supplier record
CocoPharma::SolutionComponent::PaymentDetailChangeControl,Payment Detail Change Control,Finance Systems,Austin,SoftwareServer::AUS-SYS-014::SN-SRM-AU-20190617,SAP Ariba SRM,Probable,Supplier master maintenance
CocoPharma::SolutionComponent::PaymentDetailChangeControl,Payment Detail Change Control,Finance Systems,Bucharest,SoftwareServer::SYS-001::SAP ERP S/4HANA,SAP ERP S/4HANA,Possible,
CocoPharma::SolutionComponent::SupplierPaymentProcessing,Supplier Payment Processing,Finance Systems,Coco core,System::coco-ledgers,Coco Ledgers,Probable,Accounts payable
CocoPharma::SolutionComponent::SupplierPaymentProcessing,Supplier Payment Processing,Finance Systems,Coco core,System::procurement01,Coco Pharmaceuticals Procurement,Possible,Invoice matching
CocoPharma::SolutionComponent::SupplierPaymentProcessing,Supplier Payment Processing,Finance Systems,Austin,SoftwareServer::AUS-SYS-009::SN-SAP-AU-20180923,SAP S/4HANA,Strong,Supplier invoices from Ariba are a loaded interaction
CocoPharma::SolutionComponent::SupplierPaymentProcessing,Supplier Payment Processing,Finance Systems,Austin,SoftwareServer::AUS-SYS-014::SN-SRM-AU-20190617,SAP Ariba SRM,Strong,Supplier invoices originate in Ariba
CocoPharma::SolutionComponent::SupplierPaymentProcessing,Supplier Payment Processing,Finance Systems,Bucharest,SoftwareServer::SYS-001::SAP ERP S/4HANA,SAP ERP S/4HANA,Probable,
CocoPharma::SolutionComponent::TransactionMonitoring,Transaction Monitoring,Finance Systems,Austin,SoftwareServer::AUS-SYS-038::SN-SIEM-AU-20220101,Splunk Enterprise SIEM,Possible,SAP critical financial transactions in the SIEM
CocoPharma::SolutionComponent::TransactionMonitoring,Transaction Monitoring,Finance Systems,Bucharest,SoftwareServer::SYS-026::Splunk SIEM,Splunk SIEM,Possible,SAP critical financial transactions in the SIEM
CocoPharma::SolutionComponent::TransfersOfValueRegister,Transfers of Value Register,Finance Systems,Austin,SoftwareServer::AUS-SYS-017::SN-MKT-AU-20210215,Salesforce Marketing Cloud,Possible,HCP engagement tracking
CocoPharma::SolutionComponent::ExpenseApprovalWorkflow,Expense Approval Workflow,Finance Systems,Coco core,System::coco-expenses,Coco Expenses,Strong,Archive: recording expenses and authorising the repayment
CocoPharma::SolutionComponent::ExpenseApprovalWorkflow,Expense Approval Workflow,Finance Systems,Austin,SoftwareServer::AUS-SYS-009::SN-SAP-AU-20180923,SAP S/4HANA,Possible,No expense tool at Austin
CocoPharma::SolutionComponent::ExpenseApprovalWorkflow,Expense Approval Workflow,Finance Systems,Bucharest,SoftwareServer::SYS-012::SAP Concur,SAP Concur,Strong,Expense claims and approvals
CocoPharma::SolutionComponent::SupplierMaterialCertificates,Supplier Material Certificates,Procurement Systems,Coco core,System::procurement01,Coco Pharmaceuticals Procurement,Possible,Certificates arrive with the goods
CocoPharma::SolutionComponent::SupplierMaterialCertificates,Supplier Material Certificates,Procurement Systems,Coco core,System::EDDEPOT01,Edmonton Depot Management System,Possible,
CocoPharma::SolutionComponent::SupplierMaterialCertificates,Supplier Material Certificates,Procurement Systems,Coco core,System::KCDEPOT01,Kansas City Depot Management System,Possible,
CocoPharma::SolutionComponent::SupplierMaterialCertificates,Supplier Material Certificates,Procurement Systems,Coco core,System::WINCHDEPOT01,Winchester Depot Management System,Possible,
CocoPharma::SolutionComponent::SupplierMaterialCertificates,Supplier Material Certificates,Procurement Systems,Austin,SoftwareServer::AUS-SYS-024::SN-LIM-AU-20190820,LabWare Enterprise LIMS,Probable,Incoming material testing
CocoPharma::SolutionComponent::SupplierMaterialCertificates,Supplier Material Certificates,Procurement Systems,Austin,SoftwareServer::AUS-SYS-015::SN-EDI-AU-20190620,OpenText Trading Grid EDI,Possible,Supplier documents via EDI
CocoPharma::SolutionComponent::SupplierMaterialCertificates,Supplier Material Certificates,Procurement Systems,Bucharest,SoftwareServer::SYS-004::LIMS LabWare Enterprise,LIMS LabWare Enterprise,Probable,Incoming material testing
CocoPharma::SolutionComponent::SupplierMaterialCertificates,Supplier Material Certificates,Procurement Systems,Bucharest,SoftwareServer::SYS-024::OpenText ECM,OpenText ECM,Probable,Certificates of analysis archived
CocoPharma::SolutionComponent::ThirdPartyOnboardingWorkflow,Third Party Onboarding Workflow,Procurement Systems,Coco core,System::procurement01,Coco Pharmaceuticals Procurement,Probable,Global purchasing is the natural home
CocoPharma::SolutionComponent::ThirdPartyOnboardingWorkflow,Third Party Onboarding Workflow,Procurement Systems,Austin,SoftwareServer::AUS-SYS-014::SN-SRM-AU-20190617,SAP Ariba SRM,Strong,Supplier onboarding
CocoPharma::SolutionComponent::ThirdPartyOnboardingWorkflow,Third Party Onboarding Workflow,Procurement Systems,Bucharest,SoftwareServer::SYS-001::SAP ERP S/4HANA,SAP ERP S/4HANA,Possible,
CocoPharma::SolutionComponent::ThirdPartyOnboardingWorkflow,Third Party Onboarding Workflow,Procurement Systems,Bucharest,SoftwareServer::SYS-020::DocuSign eSignature,DocuSign eSignature,Possible,Contract execution
CocoPharma::SolutionComponent::SupplierMasterRegister,Supplier Master Register,Procurement Systems,Coco core,System::procurement01,Coco Pharmaceuticals Procurement,Probable,Five purchasing systems means five supplier lists unless one is declared authoritative
CocoPharma::SolutionComponent::SupplierMasterRegister,Supplier Master Register,Procurement Systems,Austin,SoftwareServer::AUS-SYS-043::SN-MDM-AU-20220301,Informatica MDM,Strong,Golden supplier records to SAP and Ariba
CocoPharma::SolutionComponent::SupplierMasterRegister,Supplier Master Register,Procurement Systems,Bucharest,SoftwareServer::SYS-001::SAP ERP S/4HANA,SAP ERP S/4HANA,Probable,SAP is the de facto master
CocoPharma::SolutionComponent::GoodsReceiptAndInspection,Goods Receipt and Inspection,Warehouse Systems,Coco core,System::EDDEPOT01,Edmonton Depot Management System,Strong,Depot management is goods receipt
CocoPharma::SolutionComponent::GoodsReceiptAndInspection,Goods Receipt and Inspection,Warehouse Systems,Coco core,System::KCDEPOT01,Kansas City Depot Management System,Strong,
CocoPharma::SolutionComponent::GoodsReceiptAndInspection,Goods Receipt and Inspection,Warehouse Systems,Coco core,System::WINCHDEPOT01,Winchester Depot Management System,Strong,
CocoPharma::SolutionComponent::GoodsReceiptAndInspection,Goods Receipt and Inspection,Warehouse Systems,Coco core,System::coco-inventory,Coco Inventory,Probable,Records the result
CocoPharma::SolutionComponent::GoodsReceiptAndInspection,Goods Receipt and Inspection,Warehouse Systems,Coco core,System::aus-inventory,Austin Inventory,Probable,Records the result
CocoPharma::SolutionComponent::GoodsReceiptAndInspection,Goods Receipt and Inspection,Warehouse Systems,Austin,SoftwareServer::AUS-SYS-012::SN-WMS-AU-20200315,Manhattan WMS,Strong,Inbound receipts
CocoPharma::SolutionComponent::GoodsReceiptAndInspection,Goods Receipt and Inspection,Warehouse Systems,Bucharest,SoftwareServer::SYS-019::Warehouse Management System (WMS),Warehouse Management System (WMS),Strong,Goods receipts from SAP
CocoPharma::SolutionComponent::MaterialQuarantineControl,Material Quarantine and Release Control,Warehouse Systems,Coco core,System::coco-inventory,Coco Inventory,Probable,Quarantine is an inventory status
CocoPharma::SolutionComponent::MaterialQuarantineControl,Material Quarantine and Release Control,Warehouse Systems,Coco core,System::aus-inventory,Austin Inventory,Probable,Quarantine is an inventory status
CocoPharma::SolutionComponent::MaterialQuarantineControl,Material Quarantine and Release Control,Warehouse Systems,Austin,SoftwareServer::AUS-SYS-012::SN-WMS-AU-20200315,Manhattan WMS,Probable,
CocoPharma::SolutionComponent::MaterialQuarantineControl,Material Quarantine and Release Control,Warehouse Systems,Austin,SoftwareServer::AUS-SYS-009::SN-SAP-AU-20180923,SAP S/4HANA,Probable,
CocoPharma::SolutionComponent::MaterialQuarantineControl,Material Quarantine and Release Control,Warehouse Systems,Bucharest,SoftwareServer::SYS-019::Warehouse Management System (WMS),Warehouse Management System (WMS),Probable,
CocoPharma::SolutionComponent::MaterialQuarantineControl,Material Quarantine and Release Control,Warehouse Systems,Bucharest,SoftwareServer::SYS-001::SAP ERP S/4HANA,SAP ERP S/4HANA,Probable,
CocoPharma::SolutionComponent::PersonalisedOrderScheduler,Personalised Order Scheduler,Manufacturing Systems,Coco core,System::manufacturing-planning,Global Manufacturing Planning,Strong,Global manufacturing planning supporting all factories
CocoPharma::SolutionComponent::PersonalisedOrderScheduler,Personalised Order Scheduler,Manufacturing Systems,Austin,SoftwareServer::AUS-SYS-009::SN-SAP-AU-20180923,SAP S/4HANA,Probable,Production planning
CocoPharma::SolutionComponent::PersonalisedOrderScheduler,Personalised Order Scheduler,Manufacturing Systems,Bucharest,SoftwareServer::SYS-001::SAP ERP S/4HANA,SAP ERP S/4HANA,Probable,Production planning
CocoPharma::SolutionComponent::ManufacturingExecution,Manufacturing Execution System,Manufacturing Systems,Coco core,System::MFCTRL9482,Austin Manufacturing Control System,Strong,Per-factory manufacturing control system
CocoPharma::SolutionComponent::ManufacturingExecution,Manufacturing Execution System,Manufacturing Systems,Coco core,System::ed-mfg-control,Edmonton Manufacturing Control System,Strong,Per-factory manufacturing control system
CocoPharma::SolutionComponent::ManufacturingExecution,Manufacturing Execution System,Manufacturing Systems,Coco core,System::winch-mfg-control,Winchester Manufacturing Control System,Strong,Per-factory manufacturing control system
CocoPharma::SolutionComponent::ManufacturingExecution,Manufacturing Execution System,Manufacturing Systems,Austin,SoftwareServer::AUS-SYS-022::SN-MES-AU-20180601,Siemens Opcenter MES,Strong,Siemens Opcenter MES
CocoPharma::SolutionComponent::ManufacturingExecution,Manufacturing Execution System,Manufacturing Systems,Bucharest,SoftwareServer::SYS-003::Siemens Opcenter MES,Siemens Opcenter MES,Strong,Siemens Opcenter MES
CocoPharma::SolutionComponent::ProcessHistorian,Process Historian,Manufacturing Systems,Coco core,System::MFCTRL9482,Austin Manufacturing Control System,Possible,May hold its own history
CocoPharma::SolutionComponent::ProcessHistorian,Process Historian,Manufacturing Systems,Coco core,System::ed-mfg-control,Edmonton Manufacturing Control System,Possible,May hold its own history
CocoPharma::SolutionComponent::ProcessHistorian,Process Historian,Manufacturing Systems,Coco core,System::winch-mfg-control,Winchester Manufacturing Control System,Possible,May hold its own history
CocoPharma::SolutionComponent::ProcessHistorian,Process Historian,Manufacturing Systems,Austin,SoftwareServer::AUS-SYS-023::SN-SCA-AU-20180610,Rockwell FactoryTalk SCADA,Strong,SCADA telemetry
CocoPharma::SolutionComponent::ProcessHistorian,Process Historian,Manufacturing Systems,Austin,SoftwareServer::AUS-SYS-007::KAFKA-AUS-001,Apache Kafka,Strong,Streamed through Kafka
CocoPharma::SolutionComponent::ProcessHistorian,Process Historian,Manufacturing Systems,Austin,SoftwareServer::AUS-SYS-001::CDH-AUS-7X-00142,Cloudera Data Platform (Primary Cluster),Strong,Five years of sensor telemetry in the data lake
CocoPharma::SolutionComponent::ProcessHistorian,Process Historian,Manufacturing Systems,Bucharest,SoftwareServer::SYS-015::Rockwell FactoryTalk,Rockwell FactoryTalk,Probable,No historian or lake
CocoPharma::SolutionComponent::EquipmentQualificationRegister,Equipment Qualification Register,Manufacturing Systems,Coco core,System::MFCTRL9482,Austin Manufacturing Control System,Possible,No maintenance or calibration system in the core
CocoPharma::SolutionComponent::EquipmentQualificationRegister,Equipment Qualification Register,Manufacturing Systems,Coco core,System::ed-mfg-control,Edmonton Manufacturing Control System,Possible,
CocoPharma::SolutionComponent::EquipmentQualificationRegister,Equipment Qualification Register,Manufacturing Systems,Coco core,System::winch-mfg-control,Winchester Manufacturing Control System,Possible,
CocoPharma::SolutionComponent::EquipmentQualificationRegister,Equipment Qualification Register,Manufacturing Systems,Austin,SoftwareServer::AUS-SYS-029::SN-CMM-AU-20190401,IBM Maximo CMMS,Strong,Calibration records and equipment qualification status
CocoPharma::SolutionComponent::EquipmentQualificationRegister,Equipment Qualification Register,Manufacturing Systems,Bucharest,SoftwareServer::SYS-016::Maximo Asset Management,Maximo Asset Management,Strong,Maintenance and equipment lifecycle
CocoPharma::SolutionComponent::ElectronicBatchRecord,Electronic Batch Record System,Manufacturing Systems,Coco core,System::MFCTRL9482,Austin Manufacturing Control System,Probable,Batch records produced by manufacturing control - site-local
CocoPharma::SolutionComponent::ElectronicBatchRecord,Electronic Batch Record System,Manufacturing Systems,Coco core,System::ed-mfg-control,Edmonton Manufacturing Control System,Probable,Batch records produced by manufacturing control - site-local
CocoPharma::SolutionComponent::ElectronicBatchRecord,Electronic Batch Record System,Manufacturing Systems,Coco core,System::winch-mfg-control,Winchester Manufacturing Control System,Probable,Batch records produced by manufacturing control - site-local
CocoPharma::SolutionComponent::ElectronicBatchRecord,Electronic Batch Record System,Manufacturing Systems,Austin,SoftwareServer::AUS-SYS-026::SN-EBR-AU-20200301,Veeva Vault EBR,Strong,Veeva Vault EBR
CocoPharma::SolutionComponent::ElectronicBatchRecord,Electronic Batch Record System,Manufacturing Systems,Bucharest,SoftwareServer::SYS-003::Siemens Opcenter MES,Siemens Opcenter MES,Probable,Batch records in the MES
CocoPharma::SolutionComponent::ElectronicBatchRecord,Electronic Batch Record System,Manufacturing Systems,Bucharest,SoftwareServer::SYS-024::OpenText ECM,OpenText ECM,Probable,Signed batch record PDFs archived
CocoPharma::SolutionComponent::PackagingLineController,Packaging Line Controller,Manufacturing Systems,Coco core,System::MFCTRL9482,Austin Manufacturing Control System,Possible,
CocoPharma::SolutionComponent::PackagingLineController,Packaging Line Controller,Manufacturing Systems,Coco core,System::ed-mfg-control,Edmonton Manufacturing Control System,Possible,
CocoPharma::SolutionComponent::PackagingLineController,Packaging Line Controller,Manufacturing Systems,Coco core,System::winch-mfg-control,Winchester Manufacturing Control System,Possible,
CocoPharma::SolutionComponent::PackagingLineController,Packaging Line Controller,Manufacturing Systems,Austin,SoftwareServer::AUS-SYS-023::SN-SCA-AU-20180610,Rockwell FactoryTalk SCADA,Probable,Filling lines
CocoPharma::SolutionComponent::PackagingLineController,Packaging Line Controller,Manufacturing Systems,Bucharest,SoftwareServer::SYS-015::Rockwell FactoryTalk,Rockwell FactoryTalk,Probable,
CocoPharma::SolutionComponent::AggregationRecorder,Case and Pallet Aggregation Recorder,Manufacturing Systems,Coco core,System::MFCTRL9482,Austin Manufacturing Control System,Possible,
CocoPharma::SolutionComponent::AggregationRecorder,Case and Pallet Aggregation Recorder,Manufacturing Systems,Coco core,System::ed-mfg-control,Edmonton Manufacturing Control System,Possible,
CocoPharma::SolutionComponent::AggregationRecorder,Case and Pallet Aggregation Recorder,Manufacturing Systems,Coco core,System::winch-mfg-control,Winchester Manufacturing Control System,Possible,
CocoPharma::SolutionComponent::AggregationRecorder,Case and Pallet Aggregation Recorder,Manufacturing Systems,Coco core,System::EDDEPOT01,Edmonton Depot Management System,Possible,Palletisation at the depot
CocoPharma::SolutionComponent::AggregationRecorder,Case and Pallet Aggregation Recorder,Manufacturing Systems,Coco core,System::KCDEPOT01,Kansas City Depot Management System,Possible,
CocoPharma::SolutionComponent::AggregationRecorder,Case and Pallet Aggregation Recorder,Manufacturing Systems,Coco core,System::WINCHDEPOT01,Winchester Depot Management System,Possible,
CocoPharma::SolutionComponent::AggregationRecorder,Case and Pallet Aggregation Recorder,Manufacturing Systems,Austin,SoftwareServer::AUS-SYS-012::SN-WMS-AU-20200315,Manhattan WMS,Possible,"Pick, pack and despatch"
CocoPharma::SolutionComponent::AggregationRecorder,Case and Pallet Aggregation Recorder,Manufacturing Systems,Bucharest,SoftwareServer::SYS-019::Warehouse Management System (WMS),Warehouse Management System (WMS),Possible,
CocoPharma::SolutionComponent::SampleLogistics,Patient Sample Logistics,Delivery Systems,Austin,SoftwareServer::AUS-SYS-013::SN-TMS-AU-20211004,Oracle TMS,Possible,Outbound only
CocoPharma::SolutionComponent::TreatmentDeliveryTracking,Treatment Delivery Tracking,Delivery Systems,Coco core,System::EDDEPOT01,Edmonton Depot Management System,Possible,Despatch
CocoPharma::SolutionComponent::TreatmentDeliveryTracking,Treatment Delivery Tracking,Delivery Systems,Coco core,System::KCDEPOT01,Kansas City Depot Management System,Possible,Despatch
CocoPharma::SolutionComponent::TreatmentDeliveryTracking,Treatment Delivery Tracking,Delivery Systems,Coco core,System::WINCHDEPOT01,Winchester Depot Management System,Possible,Despatch
CocoPharma::SolutionComponent::TreatmentDeliveryTracking,Treatment Delivery Tracking,Delivery Systems,Coco core,System::globalCRM,Global customer ordering system,Possible,Order status
CocoPharma::SolutionComponent::TreatmentDeliveryTracking,Treatment Delivery Tracking,Delivery Systems,Austin,SoftwareServer::AUS-SYS-013::SN-TMS-AU-20211004,Oracle TMS,Strong,Delivery tracking of outbound orders
CocoPharma::SolutionComponent::TreatmentDeliveryTracking,Treatment Delivery Tracking,Delivery Systems,Austin,SoftwareServer::AUS-SYS-044::SN-GIS-AU-20230601,Esri ArcGIS Enterprise,Strong,Shipment locations and routes
CocoPharma::SolutionComponent::TreatmentDeliveryTracking,Treatment Delivery Tracking,Delivery Systems,Bucharest,SoftwareServer::SYS-019::Warehouse Management System (WMS),Warehouse Management System (WMS),Possible,Despatch only
CocoPharma::SolutionComponent::TransportClassificationService,Transport Classification Service,Delivery Systems,Coco core,System::coco-haz-mat,Coco HazMat Inventory,Probable,Substance classification
CocoPharma::SolutionComponent::TransportClassificationService,Transport Classification Service,Delivery Systems,Coco core,System::austin-haz-mat,Austin HazMat Inventory,Probable,Substance classification
CocoPharma::SolutionComponent::TransportClassificationService,Transport Classification Service,Delivery Systems,Austin,SoftwareServer::AUS-SYS-013::SN-TMS-AU-20211004,Oracle TMS,Possible,
CocoPharma::SolutionComponent::TransportClassificationService,Transport Classification Service,Delivery Systems,Austin,SoftwareServer::AUS-SYS-009::SN-SAP-AU-20180923,SAP S/4HANA,Possible,Material master
CocoPharma::SolutionComponent::TransportClassificationService,Transport Classification Service,Delivery Systems,Bucharest,SoftwareServer::SYS-001::SAP ERP S/4HANA,SAP ERP S/4HANA,Possible,
CocoPharma::SolutionComponent::ShippingDocumentation,Shipping Documentation Preparation,Delivery Systems,Coco core,System::EDDEPOT01,Edmonton Depot Management System,Probable,Despatch documentation
CocoPharma::SolutionComponent::ShippingDocumentation,Shipping Documentation Preparation,Delivery Systems,Coco core,System::KCDEPOT01,Kansas City Depot Management System,Probable,
CocoPharma::SolutionComponent::ShippingDocumentation,Shipping Documentation Preparation,Delivery Systems,Coco core,System::WINCHDEPOT01,Winchester Depot Management System,Probable,
CocoPharma::SolutionComponent::ShippingDocumentation,Shipping Documentation Preparation,Delivery Systems,Austin,SoftwareServer::AUS-SYS-013::SN-TMS-AU-20211004,Oracle TMS,Strong,Bill of lading data
CocoPharma::SolutionComponent::ShippingDocumentation,Shipping Documentation Preparation,Delivery Systems,Austin,SoftwareServer::AUS-SYS-015::SN-EDI-AU-20190620,OpenText Trading Grid EDI,Strong,ASNs to carriers and 3PLs
CocoPharma::SolutionComponent::ShippingDocumentation,Shipping Documentation Preparation,Delivery Systems,Bucharest,SoftwareServer::SYS-019::Warehouse Management System (WMS),Warehouse Management System (WMS),Probable,
CocoPharma::SolutionComponent::TemperatureMonitoringDevices,Temperature Monitoring Devices,Delivery Systems,Austin,SoftwareServer::AUS-SYS-028::SN-ENV-AU-20200601,Honeywell Building Manager,Possible,"Cleanrooms, static"
CocoPharma::SolutionComponent::TemperatureMonitoringDevices,Temperature Monitoring Devices,Delivery Systems,Bucharest,SoftwareServer::SYS-022::Proact Cold Chain Monitor,Proact Cold Chain Monitor,Probable,"IoT; cold stores and cleanrooms, not yet in transit"
CocoPharma::SolutionComponent::ColdChainDataCollector,Cold Chain Data Collector,Delivery Systems,Austin,SoftwareServer::AUS-SYS-007::KAFKA-AUS-001,Apache Kafka,Possible,Environmental telemetry
CocoPharma::SolutionComponent::ColdChainDataCollector,Cold Chain Data Collector,Delivery Systems,Austin,SoftwareServer::AUS-SYS-001::CDH-AUS-7X-00142,Cloudera Data Platform (Primary Cluster),Possible,
CocoPharma::SolutionComponent::ColdChainDataCollector,Cold Chain Data Collector,Delivery Systems,Bucharest,SoftwareServer::SYS-022::Proact Cold Chain Monitor,Proact Cold Chain Monitor,Probable,Feeds the MES
CocoPharma::SolutionComponent::ColdChainDataCollector,Cold Chain Data Collector,Delivery Systems,Bucharest,SoftwareServer::SYS-003::Siemens Opcenter MES,Siemens Opcenter MES,Probable,
CocoPharma::SolutionComponent::SafetyIntakeGateway,Safety Intake Gateway,Quality and Regulatory Systems,Austin,SoftwareServer::AUS-SYS-018::SN-CSS-AU-20220601,ServiceNow Customer Service Management,Strong,Complaints and adverse event reports routed to the QMS
CocoPharma::SolutionComponent::SafetyIntakeGateway,Safety Intake Gateway,Quality and Regulatory Systems,Austin,SoftwareServer::AUS-SYS-025::SN-QMS-AU-20190901,Veeva Vault QMS,Strong,Receives the safety reports
CocoPharma::SolutionComponent::ProductComplaintIntake,Product Complaint Intake,Quality and Regulatory Systems,Coco core,System::globalCRM,Global customer ordering system,Possible,Complaints arrive through the customer channel
CocoPharma::SolutionComponent::ProductComplaintIntake,Product Complaint Intake,Quality and Regulatory Systems,Austin,SoftwareServer::AUS-SYS-018::SN-CSS-AU-20220601,ServiceNow Customer Service Management,Strong,Product complaint intake
