"interaction_id","source_system_id","source_system_name","target_system_id","target_system_name","direction","interaction_type","protocol","frequency","data_exchanged","description"
"INT-AUS-012","AUS-SYS-001","CDP Primary Cluster","AUS-SYS-005","NetApp Storage","bidirectional","block storage","NFS","real-time","NameNode metadata, HDFS edit logs and persistent volume data","NetApp AFF array provides NFS backing store for HDFS NameNode metadata and persistent Hadoop service volumes"
"INT-AUS-013","AUS-SYS-001","CDP Primary Cluster","AUS-SYS-008","Apache Hive","one-way","API call","Thrift/JDBC","on demand","HDFS file paths and table metadata for SQL query execution","Hive metastore maps HDFS datasets to SQL tables; Hive query engine reads HDFS data via the cluster"
"INT-AUS-014","AUS-SYS-001","CDP Primary Cluster","AUS-SYS-006","Apache Spark","one-way","API call","YARN/RPC","on demand","HDFS datasets submitted for Spark batch or ML jobs","Spark reads HDFS datasets from the primary cluster via YARN resource negotiation for analytics and ML workloads"
"INT-AUS-015","AUS-SYS-004","Apache Knox Gateway","AUS-SYS-001","CDP Primary Cluster","one-way","API gateway","REST/HTTPS","on demand","Authenticated REST API requests from external consumers to Hadoop services","Knox terminates external HTTPS connections and proxies authenticated requests to internal Hadoop REST APIs on the cluster"
"INT-AUS-016","AUS-SYS-042","Informatica ETL","AUS-SYS-003","CDP Edge Node","one-way","file transfer","SFTP/REST","daily","Transformed data from SAP, LIMS, WMS and other operational systems","Informatica ETL jobs land cleansed and conformed datasets onto the CDP edge node for loading into the data lake"
"INT-AUS-017","AUS-SYS-009","SAP S/4HANA","AUS-SYS-042","Informatica ETL","one-way","API call","OData/HTTPS","daily","Financial postings, procurement data, inventory snapshots and production order history","SAP exposes OData APIs consumed by Informatica to extract operational data for loading into the data lake"
"INT-AUS-018","AUS-SYS-024","LabWare LIMS","AUS-SYS-042","Informatica ETL","one-way","database query","JDBC","daily","QC test results, sample lifecycle data and instrument run metadata","Informatica extracts LIMS data via JDBC for loading into the data lake QC analytics layer"
"INT-AUS-019","AUS-SYS-012","Manhattan WMS","AUS-SYS-042","Informatica ETL","one-way","database query","JDBC","daily","Inventory movements, warehouse throughput and stock level snapshots","Informatica extracts WMS operational data for supply chain analytics in the data lake"
"INT-AUS-020","AUS-SYS-013","Oracle TMS","AUS-SYS-042","Informatica ETL","one-way","API call","REST/HTTPS","daily","Shipment records, carrier performance data and delivery confirmations","Informatica pulls TMS data for logistics analytics and on-time delivery reporting in the data lake"
"INT-AUS-021","AUS-SYS-008","Apache Hive","AUS-SYS-041","Power BI","one-way","database query","JDBC/ODBC","daily","Manufacturing, QC, supply chain and financial data surfaced as Hive SQL tables","Power BI connects to Hive to query data lake content for operational and executive dashboards"
"INT-AUS-022","AUS-SYS-009","SAP S/4HANA","AUS-SYS-041","Power BI","one-way","API call","OData/HTTPS","daily","Financial statements, cost centre spend and procurement analytics","Power BI pulls live financial data from SAP via OData for CFO and finance management reporting"
"INT-AUS-023","AUS-SYS-006","Apache Spark","AUS-SYS-041","Power BI","one-way","file transfer","HDFS/Parquet","on job completion","ML model outputs — demand forecasts, yield predictions and anomaly scores","Spark ML jobs write Parquet output files to HDFS which are consumed by Power BI for predictive analytics dashboards"
"INT-AUS-024","AUS-SYS-013","Oracle TMS","AUS-SYS-044","ArcGIS","one-way","API call","REST/HTTPS","daily","Active shipment locations, delivery routes and carrier waypoints","TMS feeds live shipment tracking data to ArcGIS for spatial visualisation of the US distribution network"
"INT-AUS-025","AUS-SYS-043","Informatica MDM","AUS-SYS-009","SAP S/4HANA","one-way","API call","OData/HTTPS","on master data change","Golden customer, supplier, product and material master records","MDM pushes validated master data updates to SAP to ensure consistent product, supplier and customer records across the plant"
"INT-AUS-026","AUS-SYS-043","Informatica MDM","AUS-SYS-016","Salesforce CRM","one-way","API call","REST/HTTPS","on master data change","Golden customer account and contact records","MDM pushes authoritative customer master data to Salesforce CRM to prevent duplicate or inconsistent account records"
"INT-AUS-027","AUS-SYS-043","Informatica MDM","AUS-SYS-014","SAP Ariba SRM","one-way","API call","REST/HTTPS","on master data change","Golden supplier master records","MDM pushes validated supplier master data to Ariba to ensure procurement uses the authoritative supplier profile"
"INT-AUS-028","AUS-SYS-043","Informatica MDM","AUS-SYS-012","Manhattan WMS","one-way","API call","REST/HTTPS","on master data change","Golden item and location master records","MDM pushes authoritative product and warehouse location master data to WMS to synchronise picking and inventory rules"
"INT-AUS-029","AUS-SYS-009","SAP S/4HANA","AUS-SYS-010","SAP HANA DB","bidirectional","database","SAP HANA Protocol","real-time","All SAP application data — financial, procurement, inventory and production","SAP HANA DB is the in-memory persistence layer for S/4HANA; all application transactions read and write directly to HANA"
"INT-AUS-030","AUS-SYS-009","SAP S/4HANA","AUS-SYS-011","Oracle OMS","bidirectional","API call","REST/HTTPS","real-time","Customer orders, pricing, ATP availability and order confirmation","Salesforce CRM-originated orders are confirmed in SAP and fulfilment status is returned to OMS for customer-facing order tracking"
"INT-AUS-031","AUS-SYS-011","Oracle OMS","AUS-SYS-012","Manhattan WMS","bidirectional","API call","REST/HTTPS","real-time","Pick release instructions, despatch confirmations and shipment details","OMS sends pick release instructions to WMS; WMS returns despatch confirmation and tracking details to OMS"
"INT-AUS-032","AUS-SYS-012","Manhattan WMS","AUS-SYS-013","Oracle TMS","bidirectional","API call","REST/HTTPS","on despatch","Shipment requests, carrier selection results and BOL data","WMS sends outbound shipment requests to TMS for carrier selection and routing; TMS returns BOL and tracking numbers"
"INT-AUS-033","AUS-SYS-013","Oracle TMS","AUS-SYS-015","OpenText EDI","bidirectional","message exchange","AS2/HTTPS","on shipment","ASNs, freight invoices and delivery confirmations with 3PL and carrier partners","TMS exchanges EDI 214 shipment status, EDI 210 freight invoice and EDI 856 ASN documents with logistics partners via OpenText"
"INT-AUS-034","AUS-SYS-014","SAP Ariba SRM","AUS-SYS-015","OpenText EDI","bidirectional","message exchange","AS2/HTTPS","on purchase order","Purchase orders, order acknowledgements and supplier invoices","Ariba exchanges EDI 850 purchase orders, EDI 855 acknowledgements and EDI 810 invoices with suppliers via OpenText EDI gateway"
"INT-AUS-035","AUS-SYS-016","Salesforce CRM","AUS-SYS-011","Oracle OMS","one-way","API call","REST/HTTPS","real-time","Customer orders and contract pricing captured by the sales team","Salesforce CRM passes confirmed customer orders and negotiated pricing to Oracle OMS for fulfilment"
"INT-AUS-036","AUS-SYS-016","Salesforce CRM","AUS-SYS-017","Salesforce Marketing Cloud","bidirectional","API call","REST/HTTPS","daily","Contact lists, campaign membership, engagement scores and lead status","CRM and Marketing Cloud share contact and lead data to coordinate HCP engagement campaigns and track marketing-to-sales conversion"
"INT-AUS-037","AUS-SYS-018","ServiceNow Customer Service","AUS-SYS-025","Veeva Vault QMS","one-way","API call","REST/HTTPS","on complaint","Product complaint records and adverse event reports from customers","ServiceNow CSS forwards product complaints to Veeva QMS to initiate formal deviation and CAPA investigation under GMP"
"INT-AUS-038","AUS-SYS-019","Workday HCM","AUS-SYS-009","SAP S/4HANA","bidirectional","file transfer","SFTP","daily","Payroll results, cost centre assignments and headcount data","Workday sends payroll data to SAP for financial posting; SAP returns GL cost centre structure and payment confirmation"
"INT-AUS-039","AUS-SYS-019","Workday HCM","AUS-SYS-021","UKG Dimensions T&A","bidirectional","API call","REST/HTTPS","real-time","Employee records, approved schedules and absence entitlements","Workday sends approved shift schedules and employee records to UKG; UKG returns clocked hours, overtime and absence data"
"INT-AUS-040","AUS-SYS-019","Workday HCM","AUS-SYS-020","Cornerstone LMS","bidirectional","API call","REST/HTTPS","daily","Employee records, job roles and training completion status","Workday sends new hires and role changes to Cornerstone to assign mandatory GMP curricula; LMS returns training completion records"
"INT-AUS-041","AUS-SYS-019","Workday HCM","AUS-SYS-032","Entra ID","one-way","API call","SCIM/HTTPS","real-time","Joiner, mover and leaver events for cloud account provisioning","Workday triggers Entra ID provisioning and deprovisioning of cloud accounts via SCIM on all HR lifecycle events"
"INT-AUS-042","AUS-SYS-031","Active Directory","AUS-SYS-032","Entra ID","bidirectional","directory sync","Azure AD Connect","real-time","On-premises user accounts, groups and password hashes for hybrid identity","Azure AD Connect synchronises on-premises AD identities to Entra ID to provide seamless SSO across on-premises and cloud systems"
"INT-AUS-043","AUS-SYS-031","Active Directory","AUS-SYS-022","Siemens Opcenter MES","one-way","LDAP","LDAP/S","real-time","User credentials and group memberships for MES role authorisation","MES queries Active Directory for user authentication and role-based access control on every login"
"INT-AUS-044","AUS-SYS-031","Active Directory","AUS-SYS-024","LabWare LIMS","one-way","LDAP","LDAP/S","real-time","User credentials and group memberships for LIMS role authorisation","LIMS queries Active Directory for user authentication and role-based access on login"
"INT-AUS-045","AUS-SYS-031","Active Directory","AUS-SYS-009","SAP S/4HANA","one-way","LDAP","Kerberos/LDAP","real-time","User credentials for SAP single sign-on","SAP uses Active Directory Kerberos tickets for on-premises single sign-on for all plant staff"
"INT-AUS-046","AUS-SYS-031","Active Directory","AUS-SYS-029","IBM Maximo CMMS","one-way","LDAP","LDAP/S","real-time","User credentials and group memberships for Maximo role authorisation","Maximo queries Active Directory for authentication and role assignment for maintenance technicians and engineers"
"INT-AUS-047","AUS-SYS-032","Entra ID","AUS-SYS-016","Salesforce CRM","one-way","SSO","SAML 2.0/HTTPS","real-time","Authentication tokens and user attribute assertions for CRM login","Entra ID provides SAML-based SSO for Salesforce CRM, enforcing MFA for all sales and marketing users"
"INT-AUS-048","AUS-SYS-032","Entra ID","AUS-SYS-019","Workday HCM","one-way","SSO","SAML 2.0/HTTPS","real-time","Authentication tokens and user attribute assertions for Workday login","Entra ID provides SAML-based SSO for Workday HCM with conditional access policies enforcing MFA"
"INT-AUS-049","AUS-SYS-032","Entra ID","AUS-SYS-025","Veeva Vault QMS","one-way","SSO","SAML 2.0/HTTPS","real-time","Authentication tokens and user attribute assertions for Veeva Vault login","Entra ID provides SAML-based SSO for Veeva Vault QMS and EBR, enforcing MFA for all quality users"
"INT-AUS-050","AUS-SYS-032","Entra ID","AUS-SYS-034","ServiceNow ITSM","one-way","SSO","SAML 2.0/HTTPS","real-time","Authentication tokens and user attribute assertions for ServiceNow login","Entra ID provides SAML-based SSO for ServiceNow ITSM and Customer Service Management portals"
"INT-AUS-051","AUS-SYS-033","Microsoft 365","AUS-SYS-034","ServiceNow ITSM","bidirectional","API call","Graph API/HTTPS","real-time","Incident and change notifications via Teams and email; ticket updates from staff","ServiceNow sends incident alerts to Teams channels and email; IT staff can update tickets directly from M365 notifications"
"INT-AUS-052","AUS-SYS-033","Microsoft 365","AUS-SYS-039","Microsoft Purview DLP","one-way","API call","Graph API/HTTPS","real-time","Email content, Teams messages, SharePoint files and OneDrive data for policy inspection","Purview DLP inspects M365 content in transit to enforce data classification and prevent exfiltration of sensitive manufacturing and patient data"
"INT-AUS-053","AUS-SYS-035","VMware vSphere","AUS-SYS-036","Veeam Backup & Replication","one-way","API call","REST/HTTPS","daily","Virtual machine snapshots, VMDK files and configuration data","Veeam uses the vSphere API to snapshot and back up all on-premises VMs nightly to an off-site backup repository"
"INT-AUS-054","AUS-SYS-030","Azure DevOps","AUS-SYS-035","VMware vSphere","one-way","API call","REST/HTTPS","on release","Deployment artefacts and release pipeline scripts for on-premises applications","Azure DevOps CI/CD pipelines deploy internally developed application builds to VMs hosted on the vSphere cluster"
"INT-AUS-055","AUS-SYS-040","Cisco Catalyst/Meraki Network","AUS-SYS-037","Palo Alto Firewall","one-way","network routing","BGP/static","real-time","All ingress and egress network traffic between the Austin plant and the internet","Cisco switching fabric routes all perimeter-bound traffic through the Palo Alto NGFW for inspection, IPS and URL filtering"
"INT-AUS-056","AUS-SYS-037","Palo Alto Firewall","AUS-SYS-038","Splunk SIEM","one-way","event log","Syslog/TCP","real-time","Firewall traffic logs, threat prevention events and URL filtering hits","Palo Alto forwards all security events to Splunk for threat correlation, compliance reporting and incident investigation"
"INT-AUS-057","AUS-SYS-031","Active Directory","AUS-SYS-038","Splunk SIEM","one-way","event log","Syslog/TCP","real-time","Windows Security Event Log — logon events, privilege escalation and account changes","Active Directory forwards security events to Splunk for identity-based threat detection and SOX/FDA audit trail"
"INT-AUS-058","AUS-SYS-035","VMware vSphere","AUS-SYS-038","Splunk SIEM","one-way","event log","Syslog/UDP","real-time","vCenter infrastructure events — VM power state, storage alerts and host health","VMware forwards infrastructure events to Splunk for IT operations monitoring and security correlation"
"INT-AUS-059","AUS-SYS-009","SAP S/4HANA","AUS-SYS-038","Splunk SIEM","one-way","event log","Syslog/TCP","real-time","SAP security audit log — user access, authorisation failures and critical financial transactions","SAP security audit log is forwarded to Splunk for privileged access monitoring and SOX compliance reporting"
"INT-AUS-060","AUS-SYS-022","Siemens Opcenter MES","AUS-SYS-038","Splunk SIEM","one-way","event log","Syslog/UDP","real-time","MES audit trail — operator actions, batch record edits and e-signature events","MES forwards its 21 CFR Part 11 audit trail to Splunk for OT security monitoring and FDA compliance evidence"
"INT-AUS-061","AUS-SYS-023","Rockwell FactoryTalk SCADA","AUS-SYS-038","Splunk SIEM","one-way","event log","Syslog/UDP","real-time","OT audit logs — operator setpoint changes, alarm acknowledgements and controller events","FactoryTalk forwards OT system audit logs to Splunk for industrial cybersecurity monitoring"
"INT-AUS-062","AUS-SYS-027","Waters Empower Chromatography","AUS-SYS-024","LabWare LIMS","one-way","API call","REST/HTTPS","on analysis completion","Chromatography results, integration parameters and instrument metadata","Empower pushes completed analytical results into LIMS sample records on completion of each HPLC or UPLC run"
"INT-AUS-063","AUS-SYS-024","LabWare LIMS","AUS-SYS-025","Veeva Vault QMS","one-way","API call","REST/HTTPS","on out-of-spec result","Out-of-specification and out-of-trend analytical results","LIMS automatically raises a deviation record in Veeva QMS whenever a test result falls outside the accepted specification"
"INT-AUS-064","AUS-SYS-025","Veeva Vault QMS","AUS-SYS-026","Veeva Vault EBR","one-way","API call","REST/HTTPS","on disposition","Batch disposition decisions and QP release approvals","QMS pushes final batch disposition and qualified person release decision to EBR to complete the batch record"
"INT-AUS-065","AUS-SYS-025","Veeva Vault QMS","AUS-SYS-030","Trackwise Digital","one-way","API call","REST/HTTPS","on CAPA closure","Closed CAPA records and resulting regulatory commitments","QMS pushes resolved CAPA records and any regulatory commitments to Trackwise for submission planning and tracking"
"INT-AUS-066","AUS-SYS-029","IBM Maximo CMMS","AUS-SYS-009","SAP S/4HANA","bidirectional","API call","REST/HTTPS","daily","Work order costs, spare part purchase orders and asset depreciation postings","Maximo sends maintenance work order labour and material costs to SAP for capitalisation; SAP returns asset financial values"
"INT-AUS-067","AUS-SYS-029","IBM Maximo CMMS","AUS-SYS-045","SAP EAM","bidirectional","API call","REST/HTTPS","daily","Equipment master records, maintenance plans and work order synchronisation","Maximo and SAP EAM exchange equipment records and planned maintenance schedules to align physical and financial asset management"
"INT-AUS-068","AUS-SYS-029","IBM Maximo CMMS","AUS-SYS-025","Veeva Vault QMS","one-way","API call","REST/HTTPS","on calibration event","Overdue calibration alerts and out-of-tolerance instrument results","Maximo triggers QMS deviation records when calibrated instruments exceed calibration due dates or produce out-of-tolerance results"
"INT-AUS-069","AUS-SYS-014","SAP Ariba SRM","AUS-SYS-009","SAP S/4HANA","bidirectional","API call","RFC/HTTPS","real-time","Purchase requisitions, purchase orders, goods receipts and supplier invoices","Ariba sends approved purchase orders to SAP; SAP posts goods receipts and invoice verifications back to Ariba for three-way matching"
"INT-AUS-070","AUS-SYS-021","UKG Dimensions T&A","AUS-SYS-041","Power BI","one-way","database query","ODBC","daily","Headcount, overtime, absence rates and shift utilisation by department and line","Power BI pulls workforce analytics from UKG for HR and manufacturing operations management reporting"
"INT-AUS-071","AUS-SYS-006","Apache Spark","AUS-SYS-008","Apache Hive","one-way","API call","Thrift/JDBC","on job completion","Processed and aggregated datasets written back as Hive external tables","Spark jobs write ML model outputs and aggregated analytics datasets back as Hive external tables for SQL access by downstream consumers"
"INT-AUS-072","AUS-SYS-009","SAP S/4HANA","AUS-SYS-045","SAP EAM","bidirectional","API call","RFC","real-time","Plant maintenance orders, asset master data and equipment technical objects","SAP EAM module exchanges maintenance orders and asset records directly with the core S/4HANA system as an integrated module"
"INT-AUS-073","AUS-SYS-039","Microsoft Purview DLP","AUS-SYS-038","Splunk SIEM","one-way","API call","REST/HTTPS","real-time","DLP policy violation alerts and sensitive data exposure events","Purview DLP forwards policy violation events to Splunk for security incident correlation and compliance evidence collection"
"INT-AUS-074","AUS-SYS-043","Informatica MDM","AUS-SYS-042","Informatica ETL","bidirectional","API call","REST/HTTPS","on master data change","Golden master records published to ETL for propagation; ETL returns source system data for MDM survivorship","MDM and ETL exchange master data — ETL supplies raw source records for MDM to consolidate; MDM returns golden records to ETL for distribution"
"INT-AUS-075","AUS-SYS-024","LabWare LIMS","AUS-SYS-041","Power BI","one-way","database query","ODBC","daily","Right-first-time rates, test turnaround times and QC pass/fail trends","Power BI pulls QC performance metrics from LIMS for quality management and regulatory reporting dashboards"
