"interaction_id","source_system_id","source_system_name","target_system_id","target_system_name","direction","interaction_type","protocol","frequency","data_exchanged","description"
"INT-017","SYS-020","DocuSign eSignature","SYS-001","SAP ERP S/4HANA","one-way","API call","REST/HTTPS","on contract execution","Executed supplier and customer contract metadata","DocuSign notifies SAP of executed contracts to trigger vendor or customer master record activation"
"INT-018","SYS-001","SAP ERP S/4HANA","SYS-019","Warehouse Management System (WMS)","bidirectional","API call","REST/HTTPS","real-time","Stock transfer orders, goods receipts, inventory adjustments and despatch confirmations","SAP sends inbound delivery and stock transfer instructions to WMS; WMS confirms put-away and despatch back to SAP"
"INT-019","SYS-001","SAP ERP S/4HANA","SYS-013","Workday HCM","bidirectional","file transfer","SFTP","daily","Employee cost centre assignments, payroll postings and headcount data","Workday sends payroll results to SAP for financial posting; SAP sends cost centre structure updates to Workday"
"INT-020","SYS-001","SAP ERP S/4HANA","SYS-012","SAP Concur","bidirectional","API call","REST/HTTPS","daily","Expense claims, GL account codes and payment confirmations","Concur sends approved expense reports to SAP for payment processing; SAP returns GL master data and payment status"
"INT-021","SYS-001","SAP ERP S/4HANA","SYS-016","Maximo Asset Management","bidirectional","API call","REST/HTTPS","daily","Work order costs, purchase orders for spare parts and asset depreciation values","SAP sends asset financial data to Maximo; Maximo sends maintenance work order costs back to SAP for capitalisation"
"INT-022","SYS-001","SAP ERP S/4HANA","SYS-014","PowerBI Enterprise","one-way","database query","ODBC","daily","Financial statements, procurement spend, inventory valuation and sales revenue","PowerBI pulls financial and operational data from SAP for executive and management reporting"
"INT-023","SYS-001","SAP ERP S/4HANA","SYS-006","Veeva CRM","bidirectional","API call","REST/HTTPS","daily","Customer master data, pricing, order status and invoice data","SAP sends pricing and order confirmation to Veeva CRM; CRM sends customer orders and forecast data to SAP"
"INT-024","SYS-013","Workday HCM","SYS-023","Kronos Workforce","bidirectional","API call","REST/HTTPS","real-time","Employee schedules, shift patterns, absence records and worked hours","Kronos sends clocked attendance and overtime data to Workday; Workday sends approved schedules and employee records to Kronos"
"INT-025","SYS-013","Workday HCM","SYS-007","Microsoft 365","one-way","API call","Graph API / HTTPS","on employee change","Employee joiners, movers and leavers for mailbox and Teams provisioning","Workday triggers M365 account provisioning and deprovisioning via the Microsoft Graph API on HR events"
"INT-026","SYS-006","Veeva CRM","SYS-028","MarketingHub (HubSpot)","bidirectional","API call","REST/HTTPS","daily","Lead records, campaign responses, contact data and account information","HubSpot syncs marketing-qualified leads and campaign engagement data to Veeva CRM; CRM returns account and opportunity updates"
"INT-027","SYS-008","Active Directory","SYS-003","Siemens Opcenter MES","one-way","LDAP","LDAP/S","real-time","User credentials and group memberships for MES role authorisation","MES queries Active Directory for user authentication and role-based access control on login"
"INT-028","SYS-008","Active Directory","SYS-004","LIMS LabWare Enterprise","one-way","LDAP","LDAP/S","real-time","User credentials and group memberships for LIMS role authorisation","LIMS queries Active Directory for user authentication and role-based access control on login"
"INT-029","SYS-008","Active Directory","SYS-001","SAP ERP S/4HANA","one-way","LDAP","LDAP/S","real-time","User credentials for SAP single sign-on via Kerberos","SAP uses Active Directory Kerberos tickets for on-premises single sign-on"
"INT-030","SYS-008","Active Directory","SYS-016","Maximo Asset Management","one-way","LDAP","LDAP/S","real-time","User credentials and group memberships for Maximo role authorisation","Maximo queries Active Directory for user authentication on login"
"INT-031","SYS-008","Active Directory","SYS-018","Serena Business Manager","one-way","LDAP","LDAP/S","real-time","User credentials for ITSM portal login","Serena queries Active Directory to authenticate helpdesk and IT staff on login"
"INT-032","SYS-008","Active Directory","SYS-026","Splunk SIEM","one-way","event log","Syslog/TCP","real-time","Windows Security Event Log — logon events, privilege use and account changes","Active Directory forwards security events to Splunk for identity-based threat detection and compliance reporting"
"INT-033","SYS-009","Cisco Meraki Network","SYS-025","Darktrace AI","one-way","network tap","SPAN/mirror","real-time","Raw network packet metadata and flow records","Meraki mirrors network traffic to Darktrace for AI-based anomaly detection and threat identification"
"INT-034","SYS-025","Darktrace AI","SYS-026","Splunk SIEM","one-way","API call","REST/HTTPS","real-time","Threat alerts, anomaly scores and device risk events","Darktrace pushes high-confidence threat alerts into Splunk for correlation with other security event sources"
"INT-035","SYS-015","Rockwell FactoryTalk","SYS-026","Splunk SIEM","one-way","event log","Syslog/UDP","real-time","OT system audit logs and operator action events","FactoryTalk SCADA forwards audit logs to Splunk for OT security monitoring and regulatory audit trail"
"INT-036","SYS-001","SAP ERP S/4HANA","SYS-026","Splunk SIEM","one-way","event log","Syslog/TCP","real-time","SAP application security audit log — user access, authorisation failures and critical transactions","SAP security audit log is forwarded to Splunk for privileged access monitoring"
"INT-037","SYS-011","VMware vSphere","SYS-010","Veeam Backup & Replication","one-way","API call","REST/HTTPS","daily","Virtual machine snapshots and configuration data","Veeam uses the vSphere API to snapshot and back up all hosted VMs nightly to the backup repository"
"INT-038","SYS-011","VMware vSphere","SYS-026","Splunk SIEM","one-way","event log","Syslog/UDP","real-time","vSphere infrastructure events — VM power state changes, storage alerts and host health","VMware vCenter forwards infrastructure events to Splunk for IT operations and security monitoring"
"INT-039","SYS-030","Azure DevOps","SYS-011","VMware vSphere","one-way","API call","REST/HTTPS","on release","Deployment artefacts and release pipelines for on-premises applications","Azure DevOps CI/CD pipelines deploy application builds to on-premises VMs hosted on vSphere"
"INT-040","SYS-018","Serena Business Manager","SYS-007","Microsoft 365","bidirectional","API call","Graph API / HTTPS","real-time","Incident notifications, email alerts and Teams messages to IT staff","Serena sends incident and change notifications via Microsoft Teams and email; staff reply to tickets through M365"
"INT-041","SYS-007","Microsoft 365","SYS-024","OpenText ECM","one-way","API call","REST/HTTPS","on demand","Documents saved from SharePoint for long-term GMP or legal archiving","Controlled GMP and legal documents are published from SharePoint into OpenText ECM for formal retention management"
"INT-042","SYS-016","Maximo Asset Management","SYS-002","Veeva Vault QMS","one-way","API call","REST/HTTPS","on equipment event","Equipment calibration overdue alerts and out-of-tolerance results","Maximo triggers QMS deviation records when calibrated instruments fall out of tolerance or overdue calibration is detected"
"INT-043","SYS-019","Warehouse Management System (WMS)","SYS-014","PowerBI Enterprise","one-way","database query","ODBC","daily","Inventory levels, stock age, warehouse throughput and order fill rates","PowerBI pulls warehouse operational data from WMS for supply chain performance dashboards"
"INT-044","SYS-023","Kronos Workforce","SYS-014","PowerBI Enterprise","one-way","database query","ODBC","daily","Headcount, overtime hours, absence rates and shift utilisation by department","PowerBI pulls workforce data from Kronos for HR and operations management reporting"
"INT-045","SYS-029","AutoCAD Plant 3D","SYS-024","OpenText ECM","one-way","file transfer","SFTP","on drawing issue","Issued engineering drawings and facility schematics (DWG/PDF)","AutoCAD Plant 3D publishes formally issued facility drawings to OpenText ECM as controlled engineering documents"
